Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-09,4,w,284247,198213,0.7,169654,118446,0.7,0.4108,202.50,3.79,0.0191
2025-05-16,11,m,95159,82326,0.87,314862,245560,0.78,0.3643,210.00,11.29,0.056799999999999996
2025-05-23,18,w,36235,9423,0.26,32068,18073,0.56,0.3455,200.00,1.29,0.006500000000000001
2025-05-30,25,w,23168,10592,0.46,29341,20104,0.69,0.3251,205.00,6.29,0.0317
2025-06-06,32,w,10474,3510,0.34,11259,4574,0.41,0.3233,205.00,6.29,0.0317
2025-06-13,39,w,4499,3965,0.88,5339,2192,0.41,0.3283,210.00,11.29,0.056799999999999996
2025-06-20,46,m,47656,26461,0.56,521816,446599,0.86,0.3225,205.00,6.29,0.0317
2025-07-18,74,m,20887,8612,0.41,210514,145036,0.69,0.3191,210.00,11.29,0.056799999999999996
2025-08-15,102,m,9794,4495,0.46,122461,104067,0.85,0.3271,215.00,16.29,0.08199999999999999
2025-09-19,137,m,11325,5659,0.5,179026,170582,0.95,0.3222,210.00,11.29,0.056799999999999996
2025-10-17,165,m,3331,2596,0.78,62238,71365,1.15,0.3201,210.00,11.29,0.056799999999999996
2025-12-19,228,m,6020,2695,0.45,213184,161769,0.76,0.3171,190.00,-8.71,-0.0438
2026-01-16,256,m,24973,25002,1.0,398703,335287,0.84,0.3143,210.00,11.29,0.056799999999999996
2026-03-20,319,m,1907,1974,1.04,41616,40153,0.96,0.3127,210.00,11.29,0.056799999999999996
2026-06-18,409,w,3894,1724,0.44,132935,88978,0.67,0.31329999999999997,195.00,-3.71,-0.0187
2026-12-18,592,m,1506,592,0.39,89046,70900,0.8,0.3127,195.00,-3.71,-0.0187
2027-01-15,620,m,1706,1042,0.61,91412,77598,0.85,0.312,210.00,11.29,0.056799999999999996
2027-06-17,773,w,304,81,0.27,24556,10222,0.42,0.312,190.00,-8.71,-0.0438
2027-12-17,956,m,893,352,0.39,32078,12566,0.39,0.30920000000000003,185.00,-13.71,-0.069
