Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
100.00,,104.10,104.95,105.80,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,205.35
110.00,,94.40,95.50,96.60,0,5,6.0341,0.98,0.0006,-1.35,0.00,Call,2025-05-02,205.35
120.00,,84.00,84.98,85.95,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,205.35
125.00,,79.05,80.35,81.65,0,6,4.5956,0.99,0.0008,-0.93,0.00,Call,2025-05-02,205.35
130.00,,73.95,75.03,76.10,0,75,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,205.35
135.00,,69.85,70.32,70.80,0,15,3.8989999999999996,0.98,0.0009,-0.84,0.00,Call,2025-05-02,205.35
140.00,64.8,64.35,65.23,66.10,11,55,3.3399,0.99,0.0008,-0.56,0.00,Call,2025-05-02,205.35
145.00,60.05,59.90,60.47,61.05,15,38,3.5732999999999997,0.97,0.0016,-1.16,0.01,Call,2025-05-02,205.35
146.00,,58.05,58.93,59.80,0,2,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
147.00,,57.70,58.35,59.00,0,4,3.2409,0.98,0.0014,-0.87,0.01,Call,2025-05-02,205.35
148.00,,56.90,57.55,58.20,0,6,3.4978,0.97,0.0018,-1.31,0.01,Call,2025-05-02,205.35
149.00,,55.40,56.13,56.85,0,4,2.4736000000000002,0.99,0.0006,-0.23,0.00,Call,2025-05-02,205.35
150.00,54.39,54.60,55.20,55.80,111,237,2.7264,0.99,0.0011,-0.47,0.00,Call,2025-05-02,205.35
152.50,,52.05,52.80,53.55,0,6,2.8354000000000004,0.98,0.0015,-0.73,0.01,Call,2025-05-02,205.35
155.00,49.99,49.40,50.53,51.65,33,220,3.0431,0.97,0.0023,-1.22,0.01,Call,2025-05-02,205.35
157.50,47.83,46.45,47.35,48.25,1,6,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
160.00,45.04,44.00,45.00,46.00,44,162,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
162.50,,41.55,42.45,43.35,0,28,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
165.00,39.55,39.85,40.38,40.90,77,139,2.2833,0.97,0.0028,-0.85,0.01,Call,2025-05-02,205.35
167.50,,36.55,37.50,38.45,0,19,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
170.00,35.0,34.45,35.15,35.85,1648,2248,1.6144,0.99,0.0018,-0.29,0.00,Call,2025-05-02,205.35
172.50,32.3,32.10,32.83,33.55,73,63,1.8228,0.97,0.0036,-0.71,0.01,Call,2025-05-02,205.35
175.00,29.25,29.85,30.55,31.25,57,192,1.9262000000000001,0.95,0.0052,-1.12,0.01,Call,2025-05-02,205.35
177.50,27.3,27.20,27.75,28.30,205,324,1.4698,0.97,0.0040,-0.52,0.01,Call,2025-05-02,205.35
180.00,24.95,24.90,25.38,25.85,336,837,1.494,0.96,0.0058,-0.76,0.01,Call,2025-05-02,205.35
182.50,22.35,21.50,22.43,23.35,379,174,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
185.00,20.05,19.95,20.58,21.20,725,1030,1.3868,0.93,0.0093,-1.05,0.01,Call,2025-05-02,205.35
187.50,17.45,16.60,17.55,18.50,674,360,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
190.00,15.1,14.25,15.08,15.90,1146,1567,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,205.35
192.50,12.55,12.15,12.75,13.35,757,901,0.745,0.95,0.0129,-0.43,0.01,Call,2025-05-02,205.35
195.00,9.95,9.65,10.20,10.75,1648,4753,0.5779,0.95,0.0156,-0.32,0.01,Call,2025-05-02,205.35
197.50,7.45,7.50,7.90,8.30,5941,1155,0.5824,0.89,0.0292,-0.59,0.02,Call,2025-05-02,205.35
200.00,5.38,5.00,5.80,6.60,18636,6386,0.5847,0.80,0.0449,-0.90,0.03,Call,2025-05-02,205.35
202.50,3.0,2.38,3.09,3.80,28218,3375,0.3404,0.76,0.0843,-0.58,0.03,Call,2025-05-02,205.35
205.00,0.38,0.14,0.29,0.44,156386,6065,0.057800000000000004,0.55,0.6375,-0.14,0.04,Call,2025-05-02,205.35
207.50,0.01,0.00,0.01,0.01,141264,6076,0.1008,0.01,0.0314,-0.02,0.00,Call,2025-05-02,205.35
210.00,0.01,0.00,0.01,0.01,92651,11073,0.1862,0.01,0.0105,-0.02,0.00,Call,2025-05-02,205.35
212.50,0.01,0.00,0.01,0.01,27058,8927,0.2663,0.01,0.0055,-0.02,0.00,Call,2025-05-02,205.35
215.00,0.01,0.00,0.01,0.01,25907,33033,0.34299999999999997,0.00,0.0035,-0.02,0.00,Call,2025-05-02,205.35
217.50,0.01,0.00,0.01,0.01,3197,7929,0.4171,0.00,0.0024,-0.02,0.00,Call,2025-05-02,205.35
220.00,0.01,0.00,0.01,0.01,14957,18730,0.4891,0.00,0.0018,-0.03,0.00,Call,2025-05-02,205.35
222.50,0.01,0.00,0.01,0.01,5484,9829,0.5592,0.00,0.0014,-0.03,0.00,Call,2025-05-02,205.35
225.00,0.01,0.00,0.01,0.01,10542,25814,0.6277,0.00,0.0012,-0.03,0.00,Call,2025-05-02,205.35
227.50,0.01,0.00,0.01,0.01,1617,11416,0.6948000000000001,0.00,0.0010,-0.03,0.00,Call,2025-05-02,205.35
230.00,0.01,0.00,0.01,0.01,2612,26933,0.7605,0.00,0.0008,-0.03,0.00,Call,2025-05-02,205.35
232.50,0.01,0.00,0.01,0.01,1124,6423,0.8249,0.00,0.0007,-0.03,0.00,Call,2025-05-02,205.35
235.00,0.01,0.00,0.01,0.01,1135,13077,0.8883,0.00,0.0006,-0.03,0.00,Call,2025-05-02,205.35
237.50,0.01,0.00,0.01,0.01,53,2204,0.9505,0.00,0.0005,-0.03,0.00,Call,2025-05-02,205.35
240.00,0.01,0.00,0.01,0.01,1039,16035,1.0117,0.00,0.0005,-0.03,0.00,Call,2025-05-02,205.35
242.50,,0.00,0.01,0.01,0,2377,1.0719,0.00,0.0004,-0.03,0.00,Call,2025-05-02,205.35
245.00,0.01,0.00,0.01,0.01,184,7201,1.1312,0.00,0.0004,-0.03,0.00,Call,2025-05-02,205.35
