Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-04,1,w,85901,93319,1.09,151996,68778,0.45,0.7718,103.00,9.2,0.0981
2025-04-11,8,w,39275,37909,0.97,47413,28038,0.59,0.5819,104.00,10.2,0.10869999999999999
2025-04-17,14,w,37254,100529,2.7,257995,191122,0.74,0.5459,110.00,16.2,0.1727
2025-04-25,22,w,12200,9750,0.8,29266,13494,0.46,0.5243,105.00,11.2,0.11939999999999999
2025-05-02,29,w,7297,4140,0.57,18922,10701,0.57,0.5746,103.00,9.2,0.0981
2025-05-09,36,w,3014,938,0.31,2962,2044,0.69,0.5928,105.00,11.2,0.11939999999999999
2025-05-16,43,m,26825,19064,0.71,195865,153840,0.79,0.5715,110.00,16.2,0.1727
2025-05-23,50,w,389,140,0.36,0,0,0,0.5406,90.00,-3.8,-0.0405
2025-06-20,78,m,15816,46278,2.93,354380,272927,0.77,0.5206000000000001,120.00,26.2,0.2793
2025-07-18,106,m,8298,6231,0.75,78182,62077,0.79,0.5011,115.00,21.2,0.226
2025-08-15,134,m,6840,2153,0.31,86986,89534,1.03,0.5128,115.00,21.2,0.226
2025-09-19,169,m,6636,2416,0.36,101297,138539,1.37,0.4989,120.00,26.2,0.2793
2025-10-17,197,m,1131,3504,3.1,29528,36927,1.25,0.48969999999999997,110.00,16.2,0.1727
2025-11-21,232,m,1961,926,0.47,30105,25769,0.86,0.495,110.00,16.2,0.1727
2025-12-19,260,m,2905,1692,0.58,91298,107060,1.17,0.4894,130.00,36.2,0.3859
2026-01-16,288,m,9469,4096,0.43,249041,202075,0.81,0.4843,130.00,36.2,0.3859
2026-02-20,323,m,1477,843,0.57,5556,4760,0.86,0.48710000000000003,85.00,-8.8,-0.09380000000000001
2026-03-20,351,m,4106,1155,0.28,28674,25640,0.89,0.4836,100.00,6.2,0.0661
2026-06-18,441,w,1972,772,0.39,73222,79881,1.09,0.48340000000000005,140.00,46.2,0.4925
2026-12-18,624,m,2067,3360,1.63,63765,49531,0.78,0.4816,135.00,41.2,0.43920000000000003
2027-01-15,652,m,5459,1902,0.35,83388,87248,1.05,0.4802,115.00,21.2,0.226
2027-12-17,988,m,1732,590,0.34,4397,3043,0.69,0.4965,85.00,-8.8,-0.09380000000000001
