Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
65.00,30.83,28.20,28.83,29.45,1,18,2.7179,1.00,0.0009,-0.09,0.00,Call,2025-04-04,93.8
70.00,24.04,23.60,23.85,24.10,151,114,2.4646,0.99,0.0022,-0.17,0.00,Call,2025-04-04,93.8
75.00,,18.60,18.93,19.25,0,15,2.2746,0.97,0.0054,-0.35,0.00,Call,2025-04-04,93.8
80.00,15.15,13.50,13.75,14.00,25,142,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,93.8
85.00,9.12,8.85,8.95,9.05,41,79,1.2005,0.95,0.0188,-0.34,0.01,Call,2025-04-04,93.8
87.00,,6.65,7.15,7.65,0,70,1.2231999999999998,0.89,0.0320,-0.59,0.01,Call,2025-04-04,93.8
88.00,6.6,6.00,6.10,6.20,16,65,1.0373999999999999,0.89,0.0379,-0.50,0.01,Call,2025-04-04,93.8
89.00,5.5,5.10,5.20,5.30,19,58,0.9961,0.85,0.0477,-0.58,0.01,Call,2025-04-04,93.8
90.00,4.29,4.05,4.20,4.35,468,277,0.8521,0.83,0.0606,-0.54,0.01,Call,2025-04-04,93.8
91.00,3.6,3.40,3.47,3.55,47,98,0.8894,0.75,0.0727,-0.70,0.02,Call,2025-04-04,93.8
92.00,2.73,2.68,2.71,2.73,215,112,0.8473,0.68,0.0862,-0.75,0.02,Call,2025-04-04,93.8
93.00,2.01,2.00,2.02,2.04,745,80,0.8109999999999999,0.59,0.0977,-0.78,0.02,Call,2025-04-04,93.8
94.00,1.47,1.42,1.44,1.45,1556,94,0.7792,0.49,0.1042,-0.77,0.02,Call,2025-04-04,93.8
95.00,0.96,0.95,0.97,0.98,5770,631,0.7531,0.38,0.1032,-0.71,0.02,Call,2025-04-04,93.8
96.00,0.61,0.60,0.61,0.62,4756,202,0.7313,0.28,0.0937,-0.61,0.02,Call,2025-04-04,93.8
97.00,0.36,0.36,0.37,0.38,7235,364,0.7203,0.19,0.0774,-0.49,0.01,Call,2025-04-04,93.8
98.00,0.22,0.21,0.22,0.23,4791,366,0.7198,0.13,0.0589,-0.37,0.01,Call,2025-04-04,93.8
99.00,0.13,0.12,0.13,0.14,11434,672,0.7268000000000001,0.08,0.0422,-0.27,0.01,Call,2025-04-04,93.8
100.00,0.08,0.08,0.08,0.09,10457,7346,0.7541,0.05,0.0300,-0.21,0.01,Call,2025-04-04,93.8
101.00,0.05,0.05,0.06,0.06,4034,1804,0.7787000000000001,0.04,0.0210,-0.15,0.00,Call,2025-04-04,93.8
102.00,0.04,0.04,0.05,0.05,2308,2824,0.8336,0.03,0.0161,-0.14,0.00,Call,2025-04-04,93.8
103.00,0.03,0.02,0.03,0.04,3314,3802,0.8576,0.02,0.0114,-0.10,0.00,Call,2025-04-04,93.8
104.00,0.03,0.02,0.03,0.03,2164,3842,0.9079999999999999,0.02,0.0090,-0.09,0.00,Call,2025-04-04,93.8
105.00,0.03,0.02,0.03,0.03,4990,8033,0.9793999999999999,0.01,0.0078,-0.09,0.00,Call,2025-04-04,93.8
