Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-02,0,w,353838,242864,0.69,291599,250819,0.86,0.043899999999999995,185.00,-4.9,-0.0258
2025-05-09,7,w,269349,103220,0.38,117821,93216,0.79,0.3325,177.50,-12.4,-0.0653
2025-05-16,14,m,132012,55145,0.42,342467,218087,0.64,0.32789999999999997,190.00,0.1,0.0005
2025-05-23,21,w,29600,10579,0.36,22132,14334,0.65,0.3243,185.00,-4.9,-0.0258
2025-05-30,28,w,15938,10863,0.68,27337,14305,0.52,0.3185,170.00,-19.9,-0.1048
2025-06-06,35,w,9455,3364,0.36,15502,14464,0.93,0.3223,140.00,-49.9,-0.26280000000000003
2025-06-13,42,w,5265,3539,0.67,1055,455,0.43,0.31620000000000004,190.00,0.1,0.0005
2025-06-20,49,m,145107,38516,0.27,552906,341272,0.62,0.32,180.00,-9.9,-0.0521
2025-07-18,77,m,22980,24016,1.05,134709,79419,0.59,0.3233,190.00,0.1,0.0005
2025-08-15,105,m,34708,6273,0.18,98849,83321,0.84,0.34850000000000003,190.00,0.1,0.0005
2025-09-19,140,m,8208,9328,1.14,126377,138593,1.1,0.34369999999999995,190.00,0.1,0.0005
2025-10-17,168,m,4169,3389,0.81,51289,34759,0.68,0.33990000000000004,190.00,0.1,0.0005
2025-11-21,203,m,1950,1185,0.61,10906,20601,1.89,0.3505,185.00,-4.9,-0.0258
2025-12-19,231,m,11199,5319,0.47,128425,186053,1.45,0.3468,180.00,-9.9,-0.0521
2026-01-16,259,m,9513,4054,0.43,208130,226965,1.09,0.3436,190.00,0.1,0.0005
2026-03-20,322,m,3660,1099,0.3,53217,52977,1.0,0.3454,195.00,5.1,0.0269
2026-06-18,412,w,2659,541,0.2,95937,85051,0.89,0.34509999999999996,180.00,-9.9,-0.0521
2026-12-18,595,m,1378,773,0.56,69474,75345,1.08,0.3467,180.00,-9.9,-0.0521
2027-01-15,623,m,3835,734,0.19,73357,75294,1.03,0.34590000000000004,190.00,0.1,0.0005
2027-06-17,776,w,2190,166,0.08,30563,15397,0.5,0.348,180.00,-9.9,-0.0521
2027-12-17,959,m,1488,134,0.09,20866,18074,0.87,0.3458,180.00,-9.9,-0.0521
