Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
105.00,75.3,78.65,79.75,80.85,10,26,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
110.00,,72.60,74.00,75.40,0,320,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
115.00,,68.30,69.55,70.80,0,6,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
116.00,66.72,67.70,68.60,69.50,4,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
117.00,,66.95,67.73,68.50,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
118.00,64.55,65.30,66.30,67.30,1,7,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
119.00,,64.40,65.83,67.25,0,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
120.00,62.71,62.70,64.15,65.60,4,62,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
121.00,,62.00,63.43,64.85,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
122.00,,60.45,62.48,64.50,0,3,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
123.00,,60.65,61.50,62.35,0,3,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
124.00,,59.15,60.35,61.55,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
125.00,56.89,57.60,59.55,61.50,4,107,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
126.00,56.04,57.60,58.75,59.90,4,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
127.00,,56.30,57.15,58.00,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
128.00,,54.65,56.58,58.50,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
129.00,,54.60,55.60,56.60,0,6,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
130.00,52.07,53.40,54.20,55.00,1,10,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
131.00,,52.05,53.05,54.05,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
132.00,,51.05,52.10,53.15,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
133.00,50.4,50.75,51.48,52.20,3,7,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
134.00,47.0,49.00,50.10,51.20,1,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,184.42
135.00,45.0,48.75,49.75,50.75,1,70,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
136.00,47.14,47.00,48.68,50.35,3,4,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
137.00,,46.90,47.85,48.80,0,1,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
138.00,43.85,45.10,46.15,47.20,5,5,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
139.00,43.02,45.00,45.65,46.30,4,5,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
140.00,,42.55,44.28,46.00,0,86,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
141.00,,42.25,43.30,44.35,0,11,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
142.00,,41.05,42.22,43.40,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,184.42
