Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-03-28,1,w,50585,24701,0.49,123969,56843,0.46,0.33740000000000003,165.00,2.74,0.0169
2025-04-04,8,w,24737,11338,0.46,35733,29728,0.83,0.302,165.00,2.74,0.0169
2025-04-11,15,w,6252,3013,0.48,11658,13489,1.16,0.2964,167.50,5.24,0.0323
2025-04-17,21,w,16201,24079,1.49,208120,134600,0.65,0.2876,170.00,7.74,0.04769999999999999
2025-04-25,29,w,3165,1204,0.38,22202,16658,0.75,0.32270000000000004,130.00,-32.26,-0.19879999999999998
2025-05-02,36,w,4561,793,0.17,7003,11660,1.67,0.36700000000000005,165.00,2.74,0.0169
2025-05-09,43,w,105,50,0.48,0,0,0,0.34020000000000006,100.00,-62.26,-0.3837
2025-05-16,50,m,8937,3526,0.39,153102,85676,0.56,0.3458,170.00,7.74,0.04769999999999999
2025-06-20,85,m,5663,3600,0.64,257232,213806,0.83,0.3197,170.00,7.74,0.04769999999999999
2025-07-18,113,m,2577,514,0.2,60175,44085,0.73,0.30920000000000003,175.00,12.74,0.0785
2025-08-15,141,m,1140,724,0.64,54405,68581,1.26,0.325,170.00,7.74,0.04769999999999999
2025-09-19,176,m,1721,1020,0.59,90844,96694,1.06,0.319,175.00,12.74,0.0785
2025-10-17,204,m,285,427,1.5,7575,16467,2.17,0.3151,160.00,-2.26,-0.0139
2025-12-19,267,m,562,841,1.5,77763,90079,1.16,0.3188,170.00,7.74,0.04769999999999999
2026-01-16,295,m,3265,2395,0.73,294957,135232,0.46,0.3176,165.00,2.74,0.0169
2026-03-20,358,m,873,1359,1.56,18378,36806,2.0,0.3191,175.00,12.74,0.0785
2026-06-18,448,w,592,165,0.28,33154,36166,1.09,0.3223,160.00,-2.26,-0.0139
2026-09-18,540,m,5,0,0.0,475,2407,5.07,0.3246,155.00,-7.26,-0.0447
2026-12-18,631,m,210,12,0.06,47844,42467,0.89,0.3264,170.00,7.74,0.04769999999999999
2027-01-15,659,m,384,174,0.45,85930,39744,0.46,0.32630000000000003,170.00,7.74,0.04769999999999999
2027-12-17,995,m,331,512,1.55,6554,4447,0.68,0.33630000000000004,150.00,-12.26,-0.0756
