Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
80.00,81.49,80.05,80.98,81.90,4,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
85.00,76.51,75.00,75.90,76.80,4,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
90.00,,69.90,70.93,71.95,0,6,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
95.00,,65.05,65.93,66.80,0,6,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
100.00,,60.05,60.93,61.80,0,150,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
105.00,,55.00,55.90,56.80,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
110.00,51.5,50.00,50.90,51.80,3,31,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
111.00,,48.90,49.93,50.95,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
112.00,,48.20,49.00,49.80,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
113.00,,46.90,47.93,48.95,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
114.00,,45.90,46.93,47.95,0,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
115.00,,44.90,45.93,46.95,0,9,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
116.00,44.52,43.90,44.93,45.95,4,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
117.00,43.58,43.20,44.00,44.80,4,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
118.00,,41.90,42.93,43.95,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
119.00,,40.90,41.93,42.95,0,2,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
120.00,40.94,40.20,41.03,41.85,9,2928,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
121.00,40.83,39.40,40.05,40.70,4,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
122.00,38.51,38.45,39.15,39.85,4,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
123.00,37.6,37.35,38.10,38.85,8,10,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
124.00,36.52,36.70,37.20,37.70,4,15,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
125.00,,35.45,36.00,36.55,0,27,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
126.00,35.73,34.55,35.05,35.55,4,5,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
127.00,34.73,33.25,34.05,34.85,4,2,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
128.00,33.73,32.30,33.10,33.90,4,3,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
129.00,32.58,31.25,32.08,32.90,15,4,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
130.00,31.03,30.70,31.25,31.80,22,123,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
131.00,30.76,29.35,30.15,30.95,13,19,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
132.00,29.55,28.20,28.98,29.75,20,21,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
133.00,,27.35,28.05,28.75,0,2,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
134.00,,26.45,27.08,27.70,0,62,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,161.3
135.00,26.9,25.40,26.05,26.70,44,118,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
136.00,,24.90,25.42,25.95,0,1,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
137.00,,23.30,24.08,24.85,0,6,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
138.00,22.5,22.65,23.33,24.00,1,21,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
139.00,22.8,21.50,22.25,23.00,5,15,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
140.00,21.17,20.45,21.10,21.75,10,825,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
141.00,20.65,19.80,20.30,20.80,1,15,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
142.00,,18.55,19.30,20.05,0,35,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
143.00,17.0,17.50,18.18,18.85,1,353,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
144.00,17.95,16.85,17.25,17.65,4,106,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
145.00,16.27,15.45,16.03,16.60,127,639,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
146.00,15.82,14.90,15.23,15.55,25,107,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
147.00,14.61,13.40,14.05,14.70,174,193,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
148.00,13.95,13.10,13.30,13.50,114,234,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
149.00,12.6,12.10,12.45,12.80,35,301,0.0,1.00,0.0000,-0.02,0.00,Call,2025-05-02,161.3
