Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,7,w,63358,38099,0.6,67107,42186,0.63,0.46399999999999997,525.00,23.52,0.046900000000000004
2025-05-02,14,w,17486,7604,0.43,40266,18066,0.45,0.6533,540.00,38.52,0.0768
2025-05-09,21,w,4757,1671,0.35,9623,7483,0.78,0.5902000000000001,540.00,38.52,0.0768
2025-05-16,28,m,17948,6389,0.36,103631,70034,0.68,0.5501,575.00,73.52,0.1466
2025-05-23,35,w,689,815,1.18,6720,4015,0.6,0.5236,530.00,28.52,0.056900000000000006
2025-05-30,42,w,1183,439,0.37,2446,3176,1.3,0.5011,510.00,8.52,0.017
2025-06-20,63,m,8670,6092,0.7,187102,138659,0.74,0.4647,500.00,-1.48,-0.003
2025-07-18,91,m,8293,3867,0.47,45519,41823,0.92,0.44,570.00,68.52,0.1366
2025-08-15,119,m,1184,811,0.68,45543,30353,0.67,0.4518,590.00,88.52,0.1765
2025-09-19,154,m,1219,1383,1.13,54074,70134,1.3,0.4325,550.00,48.52,0.0968
2025-10-17,182,m,782,1350,1.73,11917,14455,1.21,0.42310000000000003,600.00,98.52,0.19649999999999998
2025-11-21,217,m,1038,33,0.03,0,0,0,0.42950000000000005,110.00,-391.48,-0.7806000000000001
2025-12-19,245,m,1971,1095,0.56,101676,103322,1.02,0.4204,500.00,-1.48,-0.003
2026-01-16,273,m,3576,1894,0.53,119390,97188,0.81,0.4144,500.00,-1.48,-0.003
2026-03-20,336,m,789,839,1.06,14938,17314,1.16,0.4108,580.00,78.52,0.1566
2026-06-18,426,w,729,668,0.92,134252,62680,0.47,0.4067,450.00,-51.48,-0.1027
2026-12-18,609,m,401,53,0.13,38016,18082,0.48,0.40270000000000006,440.00,-61.48,-0.1226
2027-01-15,637,m,3174,399,0.13,92595,26235,0.28,0.4003,570.00,68.52,0.1366
2027-12-17,973,m,683,147,0.22,9179,6062,0.66,0.39390000000000003,500.00,-1.48,-0.003
