Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
180.00,,365.35,367.20,369.05,0,1,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,547.27
190.00,,355.35,357.15,358.95,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,547.27
200.00,,345.35,347.15,348.95,0,1,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,547.27
210.00,,335.35,337.30,339.25,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,547.27
220.00,,325.40,327.33,329.25,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,547.27
230.00,,315.35,317.30,319.25,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
240.00,,305.35,307.30,309.25,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
250.00,,295.55,297.38,299.20,0,1,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
260.00,,285.35,287.15,288.95,0,4,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
270.00,,275.40,277.17,278.95,0,8,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
280.00,,265.35,267.13,268.90,0,3,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
290.00,,255.50,257.33,259.15,0,26,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
300.00,244.1,245.35,247.15,248.95,4,18,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
310.00,,235.40,237.18,238.95,0,13,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,547.27
315.00,,230.50,232.18,233.85,0,2,0.0,1.00,0.0000,-0.04,0.00,Call,2025-04-25,547.27
320.00,,225.35,227.30,229.25,0,9,0.0,1.00,0.0000,-0.04,0.00,Call,2025-04-25,547.27
325.00,222.3,220.35,222.15,223.95,2,3,0.0,1.00,0.0000,-0.04,0.00,Call,2025-04-25,547.27
330.00,,215.35,217.27,219.20,0,0,0.0,1.00,0.0000,-0.04,0.00,Call,2025-04-25,547.27
