Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,7,w,31010,26072,0.84,43271,36111,0.83,0.3003,372.50,4.72,0.0128
2025-05-02,14,w,8602,3765,0.44,29218,21065,0.72,0.4068,370.00,2.22,0.006
2025-05-09,21,w,2248,731,0.33,17926,15231,0.85,0.3696,310.00,-57.78,-0.15710000000000002
2025-05-16,28,m,13005,11289,0.87,156730,103682,0.66,0.3554,395.00,27.22,0.07400000000000001
2025-05-23,35,w,2060,697,0.34,5476,3447,0.63,0.3346,365.00,-2.78,-0.0076
2025-05-30,42,w,1826,655,0.36,2365,3528,1.49,0.3195,380.00,12.22,0.0332
2025-06-20,63,m,5008,5959,1.19,203002,141202,0.7,0.31170000000000003,390.00,22.22,0.0604
2025-07-18,91,m,3344,2620,0.78,57442,40600,0.71,0.302,395.00,27.22,0.07400000000000001
2025-08-15,119,m,941,453,0.48,39024,58919,1.51,0.309,430.00,62.22,0.16920000000000002
2025-09-19,154,m,887,1082,1.22,57074,55044,0.96,0.302,400.00,32.22,0.0876
2025-10-17,182,m,1502,1720,1.15,10397,14080,1.35,0.29960000000000003,390.00,22.22,0.0604
2025-12-19,245,m,991,1114,1.12,73321,90347,1.23,0.2955,400.00,32.22,0.0876
2026-01-16,273,m,3026,3082,1.02,120212,106663,0.89,0.2938,400.00,32.22,0.0876
2026-03-20,336,m,338,506,1.5,13655,14263,1.04,0.29,380.00,12.22,0.0332
2026-06-18,426,w,691,539,0.78,38401,25524,0.66,0.2887,380.00,12.22,0.0332
2026-12-18,609,m,122,61,0.5,82979,33165,0.4,0.2926,370.00,2.22,0.006
2027-01-15,637,m,312,120,0.38,33950,22353,0.66,0.2919,400.00,32.22,0.0876
2027-06-17,790,w,19,2,0.11,4454,3096,0.7,0.2887,380.00,12.22,0.0332
2027-12-17,973,m,250,200,0.8,22488,13647,0.61,0.2916,320.00,-47.78,-0.12990000000000002
