Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
225.00,,167.25,169.03,170.80,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
230.00,,162.25,164.03,165.80,0,191,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
235.00,,156.95,159.08,161.20,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
240.00,,152.05,153.93,155.80,0,35,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
245.00,,147.10,148.95,150.80,0,3,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
250.00,,142.15,143.98,145.80,0,73,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
255.00,,137.20,139.00,140.80,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
260.00,,132.15,134.00,135.85,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
265.00,,127.15,128.98,130.80,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
270.00,,122.30,124.03,125.75,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
275.00,119.06,117.20,119.03,120.85,1,1,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
280.00,113.45,112.15,114.05,115.95,1,70,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
285.00,,107.30,109.07,110.85,0,2,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
290.00,,102.15,104.05,105.95,0,198,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
292.50,,99.95,101.65,103.35,0,10,1.2592,1.00,0.0003,-0.12,0.00,Call,2025-05-02,394.04
295.00,,97.25,99.03,100.80,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
297.50,,94.70,96.73,98.75,0,1,1.3183,0.99,0.0005,-0.20,0.01,Call,2025-05-02,394.04
300.00,94.3,92.25,94.05,95.85,1,28,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
302.50,,89.70,91.53,93.35,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
305.00,,87.40,89.10,90.80,0,7,0.7269,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
307.50,,84.90,86.58,88.25,0,1,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
310.00,,82.70,84.28,85.85,0,3239,1.1924,0.99,0.0007,-0.25,0.01,Call,2025-05-02,394.04
312.50,,79.70,81.53,83.35,0,0,0.0,1.00,0.0000,-0.03,0.00,Call,2025-05-02,394.04
315.00,,77.30,79.10,80.90,0,6,0.0,1.00,0.0000,-0.04,0.00,Call,2025-05-02,394.04
317.50,75.95,74.75,76.58,78.40,1,0,0.0,1.00,0.0000,-0.04,0.00,Call,2025-05-02,394.04
320.00,73.65,72.75,74.38,76.00,14,434,1.1229,0.98,0.0011,-0.33,0.02,Call,2025-05-02,394.04
322.50,,69.80,71.57,73.35,0,1,0.0,1.00,0.0000,-0.04,0.00,Call,2025-05-02,394.04
325.00,,67.75,69.33,70.90,0,38,1.0173,0.98,0.0011,-0.28,0.01,Call,2025-05-02,394.04
327.50,,64.75,66.58,68.40,0,1,0.0,1.00,0.0000,-0.04,0.00,Call,2025-05-02,394.04
330.00,,62.40,64.13,65.85,0,68,0.6976,1.00,0.0003,-0.07,0.00,Call,2025-05-02,394.04
332.50,,59.75,61.58,63.40,0,0,0.0,1.00,0.0000,-0.04,0.00,Call,2025-05-02,394.04
335.00,,57.80,59.33,60.85,0,162,0.8756999999999999,0.98,0.0014,-0.27,0.02,Call,2025-05-02,394.04
337.50,,54.95,56.68,58.40,0,0,0.7132999999999999,0.99,0.0008,-0.13,0.01,Call,2025-05-02,394.04
340.00,53.55,52.75,54.20,55.65,2,218,0.7111,0.99,0.0011,-0.15,0.01,Call,2025-05-02,394.04
342.50,,50.05,51.70,53.35,0,4,0.6792,0.99,0.0011,-0.15,0.01,Call,2025-05-02,394.04
345.00,49.7,47.75,49.33,50.90,2,200,0.7363,0.98,0.0019,-0.26,0.02,Call,2025-05-02,394.04
347.50,46.05,45.60,47.05,48.50,1,13,0.7956,0.96,0.0029,-0.42,0.03,Call,2025-05-02,394.04
350.00,44.7,43.10,44.55,46.00,87,334,0.7579,0.96,0.0031,-0.42,0.03,Call,2025-05-02,394.04
352.50,41.25,40.65,42.10,43.55,3,13,0.7356999999999999,0.96,0.0035,-0.44,0.03,Call,2025-05-02,394.04
355.00,38.8,38.10,39.33,40.55,12,154,0.5982999999999999,0.97,0.0028,-0.25,0.02,Call,2025-05-02,394.04
357.50,37.54,35.65,36.83,38.00,17,34,0.5639,0.97,0.0031,-0.25,0.02,Call,2025-05-02,394.04
360.00,34.52,33.90,34.65,35.40,43,435,0.6339,0.95,0.0049,-0.45,0.04,Call,2025-05-02,394.04
362.50,32.59,31.50,32.23,32.95,91,246,0.6126,0.94,0.0056,-0.49,0.04,Call,2025-05-02,394.04
