Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,1,w,744638,675471,0.91,1051849,810153,0.77,0.5987,102.00,-4.97,-0.04650000000000001
2025-05-02,8,w,268326,232416,0.87,370609,394472,1.06,0.5059,102.00,-4.97,-0.04650000000000001
2025-05-09,15,w,62076,73360,1.18,131311,166097,1.26,0.486,105.00,-1.97,-0.018500000000000003
2025-05-16,22,m,135237,113737,0.84,1086562,736942,0.68,0.4768,110.00,3.03,0.028300000000000002
2025-05-23,29,w,46159,17440,0.38,148325,76234,0.51,0.4623,100.00,-6.97,-0.0652
2025-05-30,36,w,32190,11531,0.36,63996,37092,0.58,0.535,104.00,-2.97,-0.0278
2025-06-06,43,w,1132,1041,0.92,0,0,0,0.5291,91.00,-15.97,-0.1493
2025-06-20,57,m,93827,51970,0.55,2399180,2169899,0.9,0.5107,100.00,-6.97,-0.0652
2025-07-18,85,m,56346,17171,0.3,449564,406559,0.9,0.4882,115.00,8.03,0.075
2025-08-15,113,m,17059,8732,0.51,335747,441229,1.31,0.48810000000000003,120.00,13.03,0.12179999999999999
2025-09-19,148,m,16379,32056,1.96,557271,701845,1.26,0.5005,115.00,8.03,0.075
2025-10-17,176,m,6156,7618,1.24,224717,232771,1.04,0.47979999999999995,110.00,3.03,0.028300000000000002
2025-11-21,211,m,6825,8082,1.18,102216,139104,1.36,0.5117,115.00,8.03,0.075
2025-12-19,239,m,20890,20635,0.99,850249,1069449,1.26,0.48590000000000005,85.00,-21.97,-0.2054
2026-01-16,267,m,33005,17679,0.54,1307346,1344418,1.03,0.4815,100.00,-6.97,-0.0652
2026-03-20,330,m,16838,16226,0.96,262489,268625,1.02,0.4916,110.00,3.03,0.028300000000000002
2026-06-18,420,w,8305,3022,0.36,511118,623818,1.22,0.48840000000000006,100.00,-6.97,-0.0652
2026-09-18,512,m,1927,1048,0.54,81731,64344,0.79,0.48340000000000005,120.00,13.03,0.12179999999999999
2026-12-18,603,m,3126,4313,1.38,753773,570129,0.76,0.4858,90.00,-16.97,-0.15869999999999998
2027-01-15,631,m,9708,1096,0.11,385323,357562,0.93,0.4705,110.00,3.03,0.028300000000000002
2027-06-17,784,w,301,2483,8.25,27119,35466,1.31,0.47200000000000003,105.00,-1.97,-0.018500000000000003
2027-12-17,967,m,4537,1436,0.32,154153,126364,0.82,0.4656,100.00,-6.97,-0.0652
