Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
50.00,,59.00,60.13,61.25,0,238,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
55.00,53.4,54.00,55.13,56.25,5,7,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
60.00,47.95,49.00,50.13,51.25,113,63,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
65.00,44.45,44.00,45.13,46.25,59,82,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
70.00,37.55,39.00,40.13,41.25,66,270,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
75.00,34.45,34.35,35.30,36.25,93,240,2.0887000000000002,0.98,0.0020,-0.15,0.00,Call,2025-04-04,110.15
80.00,30.1,29.40,30.35,31.30,257,246,1.8719999999999999,0.98,0.0031,-0.19,0.01,Call,2025-04-04,110.15
85.00,25.1,24.40,24.92,25.45,664,179,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
86.00,23.42,22.90,24.15,25.40,69,142,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
87.00,22.5,22.40,23.00,23.60,9,112,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
88.00,21.5,20.90,22.15,23.40,72,152,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
89.00,19.3,19.95,21.17,22.40,62,164,0.8112999999999999,1.00,0.0007,-0.02,0.00,Call,2025-04-04,110.15
90.00,20.1,19.25,20.23,21.20,470,820,1.0403,0.99,0.0035,-0.07,0.00,Call,2025-04-04,110.15
91.00,17.3,17.95,18.67,19.40,69,88,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
92.00,18.2,17.40,17.92,18.45,351,376,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
93.00,17.15,15.95,17.15,18.35,404,284,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
94.00,16.2,15.45,15.98,16.50,295,415,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
95.00,15.25,14.65,15.08,15.50,700,2030,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
96.00,14.25,13.35,13.93,14.50,311,538,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
97.00,13.2,12.45,13.48,14.50,481,569,0.9716,0.93,0.0135,-0.22,0.01,Call,2025-04-04,110.15
98.00,12.25,11.30,12.03,12.75,569,1095,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
99.00,11.2,10.75,11.13,11.50,777,1182,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-04,110.15
100.00,10.35,9.70,10.33,10.95,2887,13502,0.6704000000000001,0.95,0.0159,-0.13,0.01,Call,2025-04-04,110.15
