Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-21,0,w,1164667,1076416,0.92,116395,140010,1.2,0.0675,445.00,12.88,0.0298
2025-04-22,1,w,309997,306176,0.99,57318,51723,0.9,0.4226,446.00,13.88,0.0321
2025-04-23,2,w,74562,93128,1.25,22885,34601,1.51,0.4254,445.00,12.88,0.0298
2025-04-24,3,w,21315,30484,1.43,13455,24064,1.79,0.42950000000000005,450.00,17.88,0.0414
2025-04-25,4,w,104788,180373,1.72,154632,276959,1.79,0.4328,453.00,20.88,0.0483
2025-04-28,7,w,14573,22146,1.52,10307,10317,1.0,0.37060000000000004,452.00,19.88,0.046
2025-04-29,8,w,4780,3893,0.81,3550,4645,1.31,0.3763,453.00,20.88,0.0483
2025-04-30,9,w,23147,73147,3.16,131646,185770,1.41,0.3848,455.00,22.88,0.0529
2025-05-01,10,w,3965,7077,1.78,776,848,1.09,0.3889,450.00,17.88,0.0414
2025-05-02,11,w,41766,59887,1.43,130541,329573,2.52,0.3972,450.00,17.88,0.0414
2025-05-05,14,w,1577,2604,1.65,0,0,0,0.3759,370.00,-62.12,-0.1438
2025-05-09,18,w,15794,20158,1.28,55686,48270,0.87,0.377,456.00,23.88,0.0553
2025-05-16,25,m,74828,164320,2.2,617334,877146,1.42,0.3632,460.00,27.88,0.0645
2025-05-23,32,w,11136,9173,0.82,16751,24277,1.45,0.35159999999999997,457.00,24.88,0.0576
2025-05-30,39,w,10477,19248,1.84,70304,189033,2.69,0.3403,470.00,37.88,0.0877
2025-06-20,60,m,29769,82720,2.78,618119,1029035,1.66,0.3307,480.00,47.88,0.1108
2025-06-30,70,w,8007,7695,0.96,170179,105399,0.62,0.3181,474.00,41.88,0.0969
2025-07-18,88,m,7014,24569,3.5,46622,93550,2.01,0.32,450.00,17.88,0.0414
2025-07-31,101,w,2508,2881,1.15,23192,21175,0.91,0.3166,460.00,27.88,0.0645
2025-08-15,116,m,5047,36627,7.26,100273,132288,1.32,0.3128,480.00,47.88,0.1108
2025-08-29,130,w,1006,1068,1.06,14708,13267,0.9,0.3114,465.00,32.88,0.0761
2025-09-19,151,m,14977,17345,1.16,268598,325223,1.21,0.3057,485.00,52.88,0.12240000000000001
2025-09-30,162,w,1874,1281,0.68,46301,46102,1.0,0.3018,486.00,53.88,0.1247
2025-11-21,214,m,852,644,0.76,16807,14030,0.83,0.2962,460.00,27.88,0.0645
2025-12-19,242,m,5993,6479,1.08,228575,425705,1.86,0.2934,489.78,57.66,0.1334
2025-12-31,254,w,2633,1124,0.43,22878,21267,0.93,0.2894,499.00,66.88,0.1548
2026-01-16,270,m,3608,1422,0.39,178906,194246,1.09,0.2879,484.78,52.66,0.1219
2026-03-20,333,m,2026,3199,1.58,51070,68430,1.34,0.2821,485.00,52.88,0.12240000000000001
2026-03-31,344,w,719,305,0.42,15933,5591,0.35,0.2832,450.00,17.88,0.0414
2026-06-18,423,w,1048,1500,1.43,49392,102748,2.08,0.2761,510.00,77.88,0.1802
2026-09-18,515,m,218,832,3.82,14556,20936,1.44,0.2712,550.00,117.88,0.2728
2026-12-18,606,m,2448,1390,0.57,80773,152451,1.89,0.2676,500.00,67.88,0.15710000000000002
2027-01-15,634,m,659,144,0.22,55721,34191,0.61,0.2676,500.00,67.88,0.15710000000000002
2027-06-17,787,w,253,312,1.23,1333,9686,7.27,0.266,445.00,12.88,0.0298
2027-12-17,970,m,1654,3707,2.24,16350,22297,1.36,0.2639,480.00,47.88,0.1108
