Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,ExpectedMove,ExpectedMove_pct,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-07-18,0,m,1314072,1167314,0.89,495278,990919,2.0,1.0579,0.53,0.0009,545.0,-16.51,-0.0294
2025-07-21,3,w,209197,244128,1.17,39090,75573,1.93,0.07150000000000001,2.44,0.0044,559.0,-2.51,-0.0045000000000000005
2025-07-22,4,w,31329,59243,1.89,21025,37041,1.76,0.091,3.78,0.0067,558.0,-3.51,-0.0063
2025-07-23,5,w,32337,37618,1.16,15525,24417,1.57,0.111,5.29,0.009399999999999999,558.0,-3.51,-0.0063
2025-07-24,6,w,15109,19856,1.31,8238,18690,2.27,0.11869999999999999,6.28,0.011200000000000002,559.0,-2.51,-0.0045000000000000005
2025-07-25,7,w,76457,111043,1.45,93158,153369,1.65,0.12359999999999999,7.11,0.0127,553.0,-8.51,-0.0152
2025-07-28,10,w,7373,7936,1.08,4585,8413,1.83,0.1177,8.18,0.0146,558.0,-3.51,-0.0063
2025-07-29,11,w,1969,7492,3.8,3429,3063,0.89,0.1231,9.04,0.0161,556.0,-5.51,-0.0098
2025-07-30,12,w,16837,4572,0.27,1212,2972,2.45,0.141,10.91,0.0194,560.0,-1.51,-0.0027
2025-07-31,13,w,4475,7183,1.61,144547,158925,1.1,0.1537,10.96,0.0195,540.0,-21.51,-0.0383
2025-08-01,14,w,20035,19664,0.98,74022,315525,4.26,0.1613,13.6,0.0242,553.0,-8.51,-0.0152
2025-08-08,21,w,10244,9693,0.95,33689,88643,2.63,0.1606,16.7,0.0297,557.0,-4.51,-0.008
2025-08-15,28,m,49693,89380,1.8,333504,583382,1.75,0.16649999999999998,18.47,0.0329,540.0,-21.51,-0.0383
2025-08-22,35,w,4633,4472,0.97,9889,19201,1.94,0.16670000000000001,22.58,0.04019999999999999,555.0,-6.51,-0.0116
2025-08-29,42,w,6402,9866,1.54,68163,97672,1.43,0.17170000000000002,25.53,0.0455,543.0,-18.51,-0.033
2025-09-19,63,m,20218,38198,1.89,484132,768009,1.59,0.1783,32.61,0.0581,520.0,-41.51,-0.0739
2025-09-30,74,w,1861,5510,2.96,81003,150329,1.86,0.17800000000000002,35.34,0.0629,520.0,-41.51,-0.0739
2025-10-17,91,m,3330,16439,4.94,8748,39526,4.52,0.18489999999999998,40.8,0.0727,566.0,4.49,0.008
2025-11-21,126,m,1780,4914,2.76,65619,98068,1.49,0.1961,49.16,0.0876,525.0,-36.51,-0.065
2025-12-19,154,m,2860,4693,1.64,407007,853477,2.1,0.2006,56.82,0.1012,515.0,-46.51,-0.0828
2025-12-31,166,w,379,482,1.27,55369,59061,1.07,0.1981,59.11,0.10529999999999999,525.0,-36.51,-0.065
2026-01-16,182,m,2130,3779,1.77,292543,270142,0.92,0.2021,61.34,0.1092,510.0,-51.51,-0.0917
2026-02-20,217,m,69,135,1.96,787,663,0.84,0.2061,68.45,0.1219,550.0,-11.51,-0.020499999999999997
2026-03-20,245,m,691,1255,1.82,170020,147347,0.87,0.2094,74.04,0.1319,500.0,-61.51,-0.10949999999999999
2026-03-31,256,w,73,134,1.84,32776,22660,0.69,0.2087,75.45,0.1344,500.0,-61.51,-0.10949999999999999
2026-06-18,335,w,263,494,1.88,103160,152070,1.47,0.2152,89.87,0.16010000000000002,510.0,-51.51,-0.0917
2026-06-30,347,w,57,10,0.18,1389,1674,1.21,0.2125,91.48,0.1629,520.0,-41.51,-0.0739
2026-09-18,427,m,180,52,0.29,22624,33325,1.47,0.2192,102.48,0.1825,550.0,-11.51,-0.020499999999999997
2026-12-18,518,m,93,79,0.85,96521,183930,1.91,0.22219999999999998,115.42,0.20550000000000002,504.78,-56.73,-0.10099999999999999
2027-01-15,546,m,125,180,1.44,65553,52261,0.8,0.2225,117.45,0.20920000000000002,510.0,-51.51,-0.0917
2027-06-17,699,w,85,21,0.25,27133,25125,0.93,0.22870000000000001,136.23,0.2426,480.0,-81.51,-0.1452
2027-12-17,882,m,186,174,0.94,30264,45651,1.51,0.2321,154.56,0.2753,500.0,-61.51,-0.10949999999999999
