Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
400.00,77.75,77.45,79.34,81.22,1,2,100.19%,0.98,0.0012,-0.41,0.02,Call,2025-03-14,479.66
401.00,-,76.73,78.48,80.22,0,0,104.64%,0.97,0.0014,-0.52,0.03,Call,2025-03-14,479.66
402.00,-,76.00,77.61,79.22,0,0,107.93%,0.97,0.0016,-0.62,0.03,Call,2025-03-14,479.66
403.00,-,75.00,76.61,78.22,0,0,106.64%,0.97,0.0016,-0.62,0.03,Call,2025-03-14,479.66
404.00,-,74.00,75.60,77.19,0,0,104.89%,0.97,0.0016,-0.60,0.03,Call,2025-03-14,479.66
405.00,-,73.00,74.61,76.22,0,0,104.07%,0.97,0.0017,-0.61,0.03,Call,2025-03-14,479.66
406.00,-,71.54,73.38,75.22,0,0,94.85%,0.98,0.0014,-0.44,0.03,Call,2025-03-14,479.66
407.00,-,71.00,72.61,74.22,0,0,101.51%,0.97,0.0017,-0.61,0.03,Call,2025-03-14,479.66
408.00,-,69.54,71.38,73.22,0,0,92.43%,0.97,0.0015,-0.44,0.03,Call,2025-03-14,479.66
409.00,-,69.00,70.61,72.22,0,0,98.94%,0.96,0.0018,-0.60,0.03,Call,2025-03-14,479.66
410.00,-,68.00,69.61,71.22,0,0,97.66%,0.96,0.0019,-0.60,0.03,Call,2025-03-14,479.66
411.00,-,67.00,68.61,70.22,0,0,96.39%,0.96,0.0019,-0.60,0.03,Call,2025-03-14,479.66
412.00,-,65.45,67.34,69.22,0,0,85.85%,0.98,0.0015,-0.40,0.02,Call,2025-03-14,479.66
413.00,-,64.45,66.34,68.22,0,0,84.66%,0.98,0.0016,-0.40,0.02,Call,2025-03-14,479.66
414.00,-,63.75,65.47,67.19,0,0,88.32%,0.97,0.0018,-0.50,0.03,Call,2025-03-14,479.66
