Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
300.00,158.95,167.08,168.85,170.61,2,1,4.3425,0.98,0.0004,-2.52,0.01,Call,2025-03-31,468.92
305.00,,162.08,163.85,165.61,0,0,4.2006,0.98,0.0005,-2.51,0.01,Call,2025-03-31,468.92
310.00,,157.08,158.85,160.61,0,1,4.0607,0.98,0.0005,-2.49,0.01,Call,2025-03-31,468.92
315.00,,152.08,153.85,155.61,0,0,3.9227,0.98,0.0005,-2.47,0.01,Call,2025-03-31,468.92
320.00,,147.06,148.84,150.61,0,0,3.7786,0.98,0.0006,-2.43,0.01,Call,2025-03-31,468.92
325.00,,142.08,143.85,145.61,0,0,3.6521,0.98,0.0006,-2.43,0.01,Call,2025-03-31,468.92
330.00,,137.08,138.85,140.61,0,0,3.5194,0.98,0.0006,-2.41,0.01,Call,2025-03-31,468.92
335.00,,132.08,133.85,135.61,0,0,3.3882999999999996,0.98,0.0007,-2.39,0.01,Call,2025-03-31,468.92
340.00,,127.08,128.85,130.61,0,0,3.2587,0.97,0.0007,-2.37,0.01,Call,2025-03-31,468.92
345.00,122.84,122.08,123.85,125.61,6,6,3.1305,0.97,0.0008,-2.35,0.01,Call,2025-03-31,468.92
350.00,,117.08,118.85,120.61,0,0,3.0038,0.97,0.0008,-2.33,0.02,Call,2025-03-31,468.92
355.00,,112.08,113.85,115.61,0,0,2.8783999999999996,0.97,0.0009,-2.31,0.02,Call,2025-03-31,468.92
360.00,,107.08,108.85,110.61,0,0,2.7541,0.97,0.0010,-2.28,0.02,Call,2025-03-31,468.92
365.00,,102.08,103.85,105.61,0,0,2.6311,0.97,0.0011,-2.26,0.02,Call,2025-03-31,468.92
370.00,,97.08,98.85,100.61,0,197,2.5091,0.97,0.0012,-2.23,0.02,Call,2025-03-31,468.92
375.00,,92.08,93.85,95.61,0,0,2.3881,0.97,0.0013,-2.21,0.02,Call,2025-03-31,468.92
380.00,,87.08,88.85,90.61,0,0,2.2681,0.97,0.0014,-2.18,0.02,Call,2025-03-31,468.92
385.00,,82.08,83.85,85.61,0,0,2.1489,0.96,0.0015,-2.15,0.02,Call,2025-03-31,468.92
390.00,,77.08,78.85,80.61,0,0,2.0303999999999998,0.96,0.0017,-2.12,0.02,Call,2025-03-31,468.92
395.00,72.96,72.08,73.85,75.61,344,0,1.9127,0.96,0.0019,-2.08,0.02,Call,2025-03-31,468.92
400.00,62.5,67.08,68.85,70.61,6,10,1.7953999999999999,0.96,0.0021,-2.05,0.02,Call,2025-03-31,468.92
401.00,,66.08,67.85,69.61,0,0,1.7719999999999998,0.96,0.0021,-2.04,0.02,Call,2025-03-31,468.92
402.00,,65.08,66.85,68.61,0,0,1.7486000000000002,0.96,0.0022,-2.03,0.02,Call,2025-03-31,468.92
403.00,,64.08,65.85,67.61,0,0,1.7253,0.96,0.0022,-2.02,0.02,Call,2025-03-31,468.92
404.00,,63.08,64.85,66.61,0,0,1.7019,0.96,0.0023,-2.02,0.02,Call,2025-03-31,468.92
405.00,,62.08,63.85,65.61,0,0,1.6786,0.95,0.0023,-2.01,0.02,Call,2025-03-31,468.92
406.00,,61.08,62.85,64.61,0,0,1.6552,0.95,0.0024,-2.00,0.02,Call,2025-03-31,468.92
407.00,,60.08,61.85,63.61,0,0,1.632,0.95,0.0024,-1.99,0.02,Call,2025-03-31,468.92
408.00,,59.08,60.85,62.61,0,0,1.6086,0.95,0.0025,-1.98,0.02,Call,2025-03-31,468.92
409.00,59.39,58.08,59.85,61.61,27,0,1.5854,0.95,0.0026,-1.98,0.02,Call,2025-03-31,468.92
410.00,,57.08,58.85,60.61,0,0,1.5621,0.95,0.0026,-1.97,0.02,Call,2025-03-31,468.92
411.00,,56.08,57.85,59.61,0,0,1.5388,0.95,0.0027,-1.96,0.02,Call,2025-03-31,468.92
412.00,,55.08,56.85,58.61,0,1,1.5155,0.95,0.0028,-1.95,0.03,Call,2025-03-31,468.92
413.00,,54.08,55.85,57.61,0,0,1.4923,0.95,0.0028,-1.94,0.03,Call,2025-03-31,468.92
414.00,,53.08,54.85,56.61,0,0,1.469,0.95,0.0029,-1.93,0.03,Call,2025-03-31,468.92
415.00,53.31,52.08,53.85,55.61,141,6,1.4457,0.95,0.0030,-1.92,0.03,Call,2025-03-31,468.92
416.00,,51.08,52.85,54.61,0,0,1.4225,0.95,0.0031,-1.91,0.03,Call,2025-03-31,468.92
