Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,IV,Last_Price,OI,UndPrice
400.00,-,159.28,160.97,162.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
405.00,-,154.28,155.97,157.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
410.00,150.86,149.28,150.95,152.62,2,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,150.86,0,561.26
415.00,-,144.28,145.97,147.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
420.00,-,139.28,140.95,142.62,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
425.00,-,134.28,135.97,137.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
430.00,-,129.28,130.97,132.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
435.00,-,124.28,125.97,127.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
440.00,-,119.28,120.97,122.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
445.00,-,114.29,115.97,117.65,0,4,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,4,561.26
450.00,-,109.29,110.97,112.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
455.00,-,104.29,105.98,107.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
460.00,-,99.29,100.93,102.56,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
465.00,-,94.29,95.98,97.67,0,1,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,1,561.26
470.00,90.88,89.29,90.98,92.66,7,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,90.88,0,561.26
471.00,-,88.29,89.98,91.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
472.00,-,87.29,88.98,90.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
473.00,-,86.29,87.98,89.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
474.00,-,85.29,86.98,88.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
475.00,-,84.29,85.98,87.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
476.00,-,83.29,84.98,86.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
477.00,-,82.29,83.98,85.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
478.00,-,81.29,82.98,84.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
479.00,-,80.29,81.98,83.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
480.00,-,79.29,80.98,82.66,0,32,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,32,561.26
481.00,79.88,78.29,79.98,81.66,38,38,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,79.88,38,561.26
482.00,-,77.29,78.98,80.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
483.00,77.96,76.29,77.98,79.67,2,1,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,77.96,1,561.26
484.00,-,75.29,76.98,78.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
485.00,-,74.29,75.98,77.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
486.00,76.39,73.29,74.94,76.58,11,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,76.39,0,561.26
487.00,-,72.29,73.98,75.66,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
488.00,-,71.29,72.98,74.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,561.26
489.00,-,70.29,71.98,73.67,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
490.00,71.20,69.29,70.98,72.67,1,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,71.2,0,561.26
491.00,69.95,68.29,69.98,71.67,1,2,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,69.95,2,561.26
492.00,-,67.29,68.98,70.67,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
493.00,-,66.29,67.94,69.58,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
494.00,-,65.29,66.98,68.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
495.00,-,64.29,65.97,67.65,0,1,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,1,561.26
496.00,-,63.29,64.98,66.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
497.00,-,62.29,63.97,65.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
498.00,-,61.29,62.97,64.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
499.00,-,60.29,61.98,63.67,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,561.26
500.00,-,59.29,60.98,62.67,0,12,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,12,561.26
505.00,-,54.29,55.98,57.67,0,3,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,3,561.26
