Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-03-14,0,w,2528947,3622726,1.43,688666,662007,0.96,0.035699999999999996,557.00,-5.8,-0.0103
2025-03-17,3,w,547120,914165,1.67,198962,171807,0.86,0.1328,561.00,-1.8,-0.0032
2025-03-18,4,w,127653,194503,1.52,113330,79864,0.7,0.16570000000000001,558.00,-4.8,-0.0085
2025-03-19,5,w,72198,103372,1.43,76516,59459,0.78,0.19390000000000002,561.00,-1.8,-0.0032
2025-03-20,6,w,27396,40157,1.47,60207,34035,0.57,0.20489999999999997,551.00,-11.8,-0.021
2025-03-21,7,m,311030,624011,2.01,1697753,3783043,2.23,0.21559999999999999,584.00,21.2,0.0377
2025-03-24,10,w,23036,18787,0.82,23572,15134,0.64,0.1955,559.00,-3.8,-0.0068000000000000005
2025-03-25,11,w,6096,8465,1.39,13428,7922,0.59,0.19649999999999998,558.00,-4.8,-0.0085
2025-03-26,12,w,5443,9221,1.69,8145,8110,1.0,0.1975,557.00,-5.8,-0.0103
2025-03-27,13,w,4659,6181,1.33,1430,538,0.38,0.1989,553.00,-9.8,-0.0174
2025-03-28,14,w,66480,50497,0.76,182655,453991,2.49,0.20199999999999999,575.00,12.2,0.0217
2025-03-31,17,w,47687,72969,1.53,393751,694193,1.76,0.1946,585.00,22.2,0.0394
2025-04-04,21,w,34124,223920,6.56,109781,131181,1.19,0.20190000000000002,578.00,15.2,0.027000000000000003
2025-04-11,28,w,15056,11697,0.78,58059,265068,4.57,0.1961,570.00,7.2,0.0128
2025-04-17,34,w,115207,437145,3.79,751176,1474094,1.96,0.1907,585.00,22.2,0.0394
2025-04-25,42,w,6264,4860,0.78,18612,19499,1.05,0.1866,558.00,-4.8,-0.0085
2025-04-30,47,w,18380,14126,0.77,198631,266289,1.34,0.1841,585.00,22.2,0.0394
2025-05-02,49,w,1753,4724,2.69,612,837,1.37,0.1867,561.00,-1.8,-0.0032
2025-05-16,63,m,28956,58067,2.01,257177,491132,1.91,0.1859,590.00,27.2,0.0483
2025-05-30,77,w,5174,6549,1.27,105451,127371,1.21,0.18460000000000001,584.00,21.2,0.0377
2025-06-20,98,m,25597,33327,1.3,542829,1049143,1.93,0.18230000000000002,570.00,7.2,0.0128
2025-06-30,108,w,6787,6092,0.9,109724,124895,1.14,0.1812,570.00,7.2,0.0128
2025-07-18,126,m,14103,17760,1.26,145776,179848,1.23,0.18030000000000002,575.00,12.2,0.0217
2025-07-31,139,w,3525,422,0.12,55443,22096,0.4,0.1816,580.00,17.2,0.030600000000000002
2025-08-15,154,m,19687,3789,0.19,196775,172455,0.88,0.1837,573.00,10.2,0.0181
2025-08-29,168,w,468,478,1.02,18383,8042,0.44,0.1848,550.00,-12.8,-0.0227
2025-09-19,189,m,28062,15292,0.54,255168,540787,2.12,0.1848,580.00,17.2,0.030600000000000002
2025-09-30,200,w,1192,1239,1.04,43109,34685,0.8,0.18510000000000001,588.00,25.2,0.044800000000000006
2025-12-19,280,m,9440,9791,1.04,337410,464060,1.38,0.1857,560.00,-2.8,-0.005
2025-12-31,292,w,778,1123,1.44,50225,44201,0.88,0.1862,600.00,37.2,0.0661
2026-01-16,308,m,6196,6857,1.11,305540,385866,1.26,0.1839,570.00,7.2,0.0128
2026-03-20,371,m,3232,2197,0.68,175222,76187,0.43,0.1867,600.00,37.2,0.0661
2026-06-18,461,w,6003,1869,0.31,130674,75268,0.58,0.1882,575.00,12.2,0.0217
2026-12-18,644,m,1246,1303,1.05,89968,154821,1.72,0.1911,545.00,-17.8,-0.0316
2027-01-15,672,m,919,317,0.34,46207,35219,0.76,0.191,600.00,37.2,0.0661
2027-12-17,1008,m,1174,543,0.46,25523,31104,1.22,0.1998,600.00,37.2,0.0661
