Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-03-24,0,w,2295240,2445651,1.07,206655,250607,1.21,0.0203,562.00,-12.11,-0.021099999999999997
2025-03-25,1,w,676013,741935,1.1,75603,75921,1.0,0.1542,563.00,-11.11,-0.0194
2025-03-26,2,w,149866,162179,1.08,64743,80969,1.25,0.15410000000000001,564.00,-10.11,-0.0176
2025-03-27,3,w,81231,72119,0.89,39809,55527,1.39,0.1577,563.00,-11.11,-0.0194
2025-03-28,4,w,227314,238404,1.05,310747,592247,1.91,0.16620000000000001,565.00,-9.11,-0.0159
2025-03-31,7,w,120476,127322,1.06,469101,690964,1.47,0.1568,575.00,0.89,0.0016
2025-04-01,8,w,29572,17228,0.58,23015,18965,0.82,0.1638,562.00,-12.11,-0.021099999999999997
2025-04-02,9,w,8322,19656,2.36,10183,15682,1.54,0.1684,565.00,-9.11,-0.0159
2025-04-03,10,w,7899,6648,0.84,5270,4435,0.84,0.172,562.00,-12.11,-0.021099999999999997
2025-04-04,11,w,67660,95038,1.4,189912,430112,2.26,0.179,570.00,-4.11,-0.0072
2025-04-07,14,w,3455,6438,1.86,0,0,0,0.1638,540.00,-34.11,-0.0594
2025-04-11,18,w,29689,36510,1.23,84903,498823,5.88,0.16760000000000003,565.00,-9.11,-0.0159
2025-04-17,24,w,154813,304984,1.97,858279,2084729,2.43,0.1605,575.00,0.89,0.0016
2025-04-25,32,w,14576,22293,1.53,34977,34274,0.98,0.156,563.00,-11.11,-0.0194
2025-04-30,37,w,21576,62158,2.88,219187,341380,1.56,0.1535,577.00,2.89,0.005
2025-05-02,39,w,8305,7130,0.86,12660,20365,1.61,0.1568,566.00,-8.11,-0.0141
2025-05-16,53,m,47487,473203,9.96,322713,670429,2.08,0.1576,580.00,5.89,0.0103
2025-05-30,67,w,6545,13920,2.13,113671,137463,1.21,0.1585,580.00,5.89,0.0103
2025-06-20,88,m,32729,87869,2.68,582775,1141840,1.96,0.15960000000000002,570.00,-4.11,-0.0072
2025-06-30,98,w,6155,16535,2.69,118322,132918,1.12,0.1574,568.00,-6.11,-0.0106
2025-07-18,116,m,42210,12342,0.29,168218,187364,1.11,0.16010000000000002,570.00,-4.11,-0.0072
2025-07-31,129,w,4049,1860,0.46,63955,20990,0.33,0.1623,578.00,3.89,0.0068000000000000005
2025-08-15,144,m,7049,7027,1.0,207323,184147,0.89,0.165,573.00,-1.11,-0.0019
2025-08-29,158,w,3212,1037,0.32,20244,9521,0.47,0.1673,555.00,-19.11,-0.0333
2025-09-19,179,m,34952,25750,0.74,287418,576193,2.0,0.1678,580.00,5.89,0.0103
2025-09-30,190,w,1497,1517,1.01,46660,36031,0.77,0.16829999999999998,581.00,6.89,0.012
2025-12-19,270,m,8371,6968,0.83,330697,474195,1.43,0.17309999999999998,560.00,-14.11,-0.0246
2025-12-31,282,w,1610,892,0.55,55383,44664,0.81,0.1718,600.00,25.89,0.0451
2026-01-16,298,m,4564,4630,1.01,309690,389669,1.26,0.1716,570.00,-4.11,-0.0072
2026-03-20,361,m,5991,5408,0.9,185116,83552,0.45,0.17600000000000002,600.00,25.89,0.0451
2026-06-18,451,w,2442,1900,0.78,150126,80621,0.54,0.1791,575.00,0.89,0.0016
2026-12-18,634,m,236,1397,5.92,91112,154911,1.7,0.1825,545.00,-29.11,-0.0507
2027-01-15,662,m,739,743,1.01,47164,34817,0.74,0.18489999999999998,600.00,25.89,0.0451
2027-12-17,998,m,569,410,0.72,28834,31998,1.11,0.1929,595.00,20.89,0.0364
