Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,ExpectedMove,ExpectedMove_pct,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-07-18,0,m,2394628,2431497,1.02,954168,2580007,2.7,0.5473,0.28,0.0004,611.0,-16.76,-0.026699999999999998
2025-07-21,3,w,428442,467111,1.09,56990,100565,1.76,0.06280000000000001,2.38,0.0038,626.0,-1.76,-0.0028000000000000004
2025-07-22,4,w,83769,97922,1.17,31932,50711,1.59,0.0787,3.61,0.0058,625.0,-2.76,-0.0044
2025-07-23,5,w,44779,67144,1.5,29391,44520,1.51,0.0916,4.84,0.0077,625.0,-2.76,-0.0044
2025-07-24,6,w,29502,31676,1.07,15752,30587,1.94,0.09820000000000001,5.76,0.0092,625.0,-2.76,-0.0044
2025-07-25,7,w,95014,145712,1.53,186111,935086,5.02,0.10369999999999999,6.65,0.0106,624.0,-3.76,-0.006
2025-07-28,10,w,21992,15522,0.71,7906,15883,2.01,0.098,7.59,0.0121,625.0,-2.76,-0.0044
2025-07-29,11,w,5351,8824,1.65,5776,10310,1.78,0.10220000000000001,8.36,0.013300000000000001,625.0,-2.76,-0.0044
2025-07-30,12,w,7005,6264,0.89,4140,8312,2.01,0.1149,9.9,0.0158,624.0,-3.76,-0.006
2025-07-31,13,w,15394,38215,2.48,297317,742398,2.5,0.12279999999999999,11.07,0.0176,607.0,-20.76,-0.0331
2025-08-01,14,w,23654,79909,3.38,74622,422230,5.66,0.1319,12.39,0.0197,622.0,-5.76,-0.0092
2025-08-08,21,w,14639,109965,7.51,62249,152677,2.45,0.1329,15.42,0.0246,621.0,-6.76,-0.0108
2025-08-15,28,m,60828,106494,1.75,602097,2440696,4.05,0.1334,16.29,0.026000000000000002,610.0,-17.76,-0.028300000000000002
2025-08-22,35,w,7743,11624,1.5,21845,338666,15.5,0.1393,21.05,0.0335,621.0,-6.76,-0.0108
2025-08-29,42,w,9983,20979,2.1,197200,664113,3.37,0.1429,23.7,0.0378,601.0,-26.76,-0.0426
2025-09-19,63,m,17428,68845,3.95,648698,1501630,2.31,0.1447,27.67,0.0441,600.0,-27.76,-0.044199999999999996
2025-09-30,74,w,8538,11600,1.36,147485,274195,1.86,0.14550000000000002,32.24,0.051399999999999994,600.0,-27.76,-0.044199999999999996
2025-10-17,91,m,8590,18053,2.1,63109,274945,4.36,0.1495,34.87,0.0555,620.0,-7.76,-0.0124
2025-10-31,105,w,12089,4969,0.41,59047,124473,2.11,0.1533,38.6,0.061500000000000006,595.0,-32.76,-0.052199999999999996
2025-11-21,126,m,1632,7719,4.73,23001,56264,2.45,0.1574,43.66,0.0696,615.0,-12.76,-0.0203
2025-11-28,133,w,356,3799,10.67,12197,30494,2.5,0.1577,45.0,0.0717,600.0,-27.76,-0.044199999999999996
2025-12-19,154,m,12732,18784,1.48,435481,964072,2.21,0.1609,49.56,0.079,580.0,-47.76,-0.0761
2025-12-31,166,w,4324,649,0.15,113853,130465,1.15,0.16,51.31,0.0817,597.0,-30.76,-0.049
2026-01-16,182,m,5716,6144,1.07,447369,594043,1.33,0.16219999999999998,54.51,0.0868,575.0,-52.76,-0.08410000000000001
2026-03-20,245,m,1150,2287,1.99,243810,221814,0.91,0.16829999999999998,65.96,0.1051,590.0,-37.76,-0.0602
2026-03-31,256,w,191,816,4.27,18616,56594,3.04,0.16820000000000002,67.4,0.1074,600.0,-27.76,-0.044199999999999996
2026-06-18,335,w,1125,2967,2.64,218814,249913,1.14,0.1746,80.2,0.1278,575.0,-52.76,-0.08410000000000001
2026-06-30,347,w,353,243,0.69,1846,5620,3.04,0.1753,83.98,0.1338,622.0,-5.76,-0.0092
2026-09-18,427,m,3582,1132,0.32,144289,39415,0.27,0.179,92.84,0.1479,650.0,22.24,0.0354
2026-12-18,518,m,646,521,0.81,154303,195148,1.26,0.18230000000000002,103.96,0.1656,555.0,-72.76,-0.1159
2027-01-15,546,m,908,429,0.47,91488,94203,1.03,0.1825,106.86,0.1702,625.0,-2.76,-0.0044
2027-12-17,882,m,618,926,1.5,70954,114081,1.61,0.1929,141.98,0.2262,585.0,-42.76,-0.0681
