Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,Implied Volatility,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
360.00,232.88,223.50,224.62,225.74,44,307,0.00%,1.00,0.0000,-0.04,0.00,Call,2025-02-27,585.0499877929688
365.00,-,219.44,220.35,221.26,0,11,384.62%,0.99,0.0002,-1.23,0.01,Call,2025-02-27,585.0499877929688
370.00,-,214.44,215.05,215.66,0,1,0.00%,1.00,0.0000,-0.04,0.00,Call,2025-02-27,585.0499877929688
375.00,-,208.88,210.08,211.29,0,125,287.94%,1.00,0.0000,-0.22,0.00,Call,2025-02-27,585.0499877929688
380.00,213.76,204.44,205.05,205.66,32,9,0.00%,1.00,0.0000,-0.04,0.00,Call,2025-02-27,585.0499877929688
385.00,-,198.50,199.63,200.75,0,230,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
390.00,-,193.92,194.80,195.68,0,1,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
395.00,-,189.45,190.07,190.68,0,2,232.18%,1.00,0.0000,-0.11,0.00,Call,2025-02-27,585.0499877929688
400.00,189.50,184.45,185.06,185.66,1,48,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
405.00,-,179.54,180.16,180.77,0,2,269.66%,1.00,0.0001,-0.51,0.00,Call,2025-02-27,585.0499877929688
410.00,180.46,174.44,175.04,175.64,20,49,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
415.00,-,168.56,169.64,170.73,0,40,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
420.00,-,164.56,165.68,166.79,0,2,310.78%,0.98,0.0004,-2.06,0.01,Call,2025-02-27,585.0499877929688
425.00,-,158.86,160.09,161.31,0,10,208.08%,1.00,0.0001,-0.20,0.00,Call,2025-02-27,585.0499877929688
430.00,156.01,154.47,155.39,156.31,10,87,266.13%,0.99,0.0004,-1.26,0.01,Call,2025-02-27,585.0499877929688
435.00,-,149.44,150.09,150.74,0,33,196.48%,1.00,0.0001,-0.21,0.00,Call,2025-02-27,585.0499877929688
440.00,-,144.46,145.37,146.28,0,18,246.25%,0.99,0.0004,-1.18,0.01,Call,2025-02-27,585.0499877929688
445.00,144.85,139.55,140.52,141.49,20,100,251.42%,0.98,0.0005,-1.59,0.01,Call,2025-02-27,585.0499877929688
450.00,139.82,134.47,135.08,135.69,7,128,167.95%,1.00,0.0001,-0.16,0.00,Call,2025-02-27,585.0499877929688
455.00,-,129.45,130.57,131.69,0,307,237.21%,0.98,0.0006,-1.69,0.01,Call,2025-02-27,585.0499877929688
460.00,134.80,124.58,125.72,126.85,64,35,237.62%,0.98,0.0007,-2.03,0.02,Call,2025-02-27,585.0499877929688
465.00,121.65,118.93,119.81,120.68,3,296,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-02-27,585.0499877929688
470.00,-,114.53,115.13,115.73,0,149,161.24%,1.00,0.0002,-0.36,0.00,Call,2025-02-27,585.0499877929688
475.00,-,109.48,110.09,110.70,0,48,139.92%,1.00,0.0001,-0.19,0.00,Call,2025-02-27,585.0499877929688
480.00,109.63,103.93,105.13,106.33,638,620,146.88%,1.00,0.0003,-0.35,0.00,Call,2025-02-27,585.0499877929688
485.00,-,98.73,99.76,100.79,0,36,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
490.00,102.59,94.57,95.18,95.79,263,288,142.08%,0.99,0.0005,-0.52,0.01,Call,2025-02-27,585.0499877929688
495.00,-,89.52,90.43,91.34,0,367,158.44%,0.98,0.0010,-1.22,0.01,Call,2025-02-27,585.0499877929688
500.00,89.37,84.50,85.11,85.72,677,750,113.93%,1.00,0.0003,-0.26,0.00,Call,2025-02-27,585.0499877929688
504.00,-,80.60,81.20,81.80,0,30,124.26%,0.99,0.0007,-0.57,0.01,Call,2025-02-27,585.0499877929688
505.00,81.98,78.60,79.70,80.80,4,250,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
506.00,-,78.58,79.19,79.80,0,424,120.09%,0.99,0.0007,-0.53,0.01,Call,2025-02-27,585.0499877929688
507.00,-,76.61,78.27,79.93,0,65,127.03%,0.99,0.0009,-0.77,0.01,Call,2025-02-27,585.0499877929688
508.00,-,76.60,77.21,77.82,0,73,119.55%,0.99,0.0008,-0.59,0.01,Call,2025-02-27,585.0499877929688
509.00,-,75.58,76.19,76.79,0,138,115.10%,0.99,0.0007,-0.51,0.01,Call,2025-02-27,585.0499877929688
510.00,75.61,73.62,74.67,75.72,186,"1,023",0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
511.00,-,72.55,73.67,74.79,0,20,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
512.00,-,71.58,72.65,73.71,0,162,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
513.00,74.80,71.56,72.16,72.76,4,38,106.01%,0.99,0.0007,-0.43,0.01,Call,2025-02-27,585.0499877929688
514.00,-,70.02,71.19,72.35,0,48,107.90%,0.99,0.0008,-0.51,0.01,Call,2025-02-27,585.0499877929688
515.00,77.86,69.30,70.32,71.33,2,106,118.33%,0.98,0.0012,-0.87,0.01,Call,2025-02-27,585.0499877929688
516.00,-,68.61,69.21,69.81,0,46,107.80%,0.99,0.0010,-0.58,0.01,Call,2025-02-27,585.0499877929688
517.00,-,67.49,68.10,68.71,0,561,88.64%,1.00,0.0004,-0.21,0.00,Call,2025-02-27,585.0499877929688
518.00,-,65.93,67.14,68.35,0,19,96.00%,0.99,0.0007,-0.35,0.01,Call,2025-02-27,585.0499877929688
519.00,-,65.59,66.20,66.81,0,304,102.38%,0.99,0.0010,-0.54,0.01,Call,2025-02-27,585.0499877929688
520.00,74.23,64.60,65.52,66.43,7,398,121.91%,0.97,0.0018,-1.33,0.02,Call,2025-02-27,585.0499877929688
521.00,64.24,63.56,64.46,65.36,13,21,117.53%,0.97,0.0018,-1.20,0.02,Call,2025-02-27,585.0499877929688
522.00,-,61.96,62.85,63.73,0,16,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
523.00,71.50,61.59,62.21,62.82,4,162,97.08%,0.99,0.0011,-0.55,0.01,Call,2025-02-27,585.0499877929688
524.00,-,59.96,60.87,61.78,0,958,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
525.00,68.84,58.72,59.76,60.80,13,423,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
526.00,-,58.59,59.21,59.82,0,215,92.72%,0.99,0.0012,-0.55,0.01,Call,2025-02-27,585.0499877929688
527.00,64.59,56.99,57.87,58.74,1,222,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-02-27,585.0499877929688
528.00,-,56.51,57.11,57.70,0,230,75.87%,1.00,0.0006,-0.22,0.00,Call,2025-02-27,585.0499877929688
529.00,-,55.62,56.23,56.84,0,104,90.56%,0.98,0.0014,-0.61,0.01,Call,2025-02-27,585.0499877929688
530.00,58.35,54.62,55.21,55.80,5,519,87.38%,0.99,0.0014,-0.55,0.01,Call,2025-02-27,585.0499877929688
