Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
250.00,300.0,299.71,300.76,301.80,4,2,7.2598,0.99,0.0001,-3.24,0.01,Call,2025-04-28,550.85
255.00,,294.70,295.76,296.82,0,1,7.098,0.99,0.0002,-3.24,0.01,Call,2025-04-28,550.85
260.00,,289.70,290.76,291.81,0,0,6.9285000000000005,0.99,0.0002,-3.22,0.01,Call,2025-04-28,550.85
265.00,,284.70,285.76,286.81,0,0,6.7677,0.99,0.0002,-3.21,0.01,Call,2025-04-28,550.85
270.00,,279.70,280.75,281.80,0,0,6.604500000000001,0.99,0.0002,-3.18,0.01,Call,2025-04-28,550.85
275.00,,274.70,275.75,276.80,0,0,6.4495000000000005,0.99,0.0002,-3.17,0.01,Call,2025-04-28,550.85
280.00,,269.70,270.75,271.80,0,0,6.2973,0.99,0.0002,-3.16,0.01,Call,2025-04-28,550.85
285.00,,264.72,265.76,266.80,0,0,6.1575999999999995,0.99,0.0002,-3.17,0.01,Call,2025-04-28,550.85
290.00,,259.70,260.76,261.82,0,0,6.0103,0.99,0.0002,-3.16,0.01,Call,2025-04-28,550.85
295.00,,254.70,255.75,256.80,0,0,5.8561000000000005,0.99,0.0002,-3.12,0.01,Call,2025-04-28,550.85
300.00,,249.70,250.76,251.82,0,2,5.723,0.99,0.0002,-3.14,0.01,Call,2025-04-28,550.85
305.00,,244.70,245.75,246.80,0,0,5.5737,0.98,0.0002,-3.10,0.01,Call,2025-04-28,550.85
310.00,,239.70,240.75,241.80,0,0,5.4358,0.98,0.0002,-3.09,0.01,Call,2025-04-28,550.85
315.00,,234.70,235.75,236.80,0,0,5.3,0.98,0.0003,-3.07,0.01,Call,2025-04-28,550.85
320.00,,229.70,230.76,231.82,0,0,5.1748,0.98,0.0003,-3.08,0.01,Call,2025-04-28,550.85
325.00,,224.70,225.76,226.82,0,0,5.0427,0.98,0.0003,-3.07,0.01,Call,2025-04-28,550.85
330.00,,219.70,220.76,221.82,0,0,4.9125,0.98,0.0003,-3.05,0.01,Call,2025-04-28,550.85
335.00,,214.71,215.77,216.82,0,0,4.7881,0.98,0.0003,-3.05,0.01,Call,2025-04-28,550.85
340.00,,209.71,210.77,211.82,0,0,4.6613,0.98,0.0003,-3.04,0.01,Call,2025-04-28,550.85
345.00,,204.71,205.77,206.82,0,0,4.5362,0.98,0.0004,-3.02,0.01,Call,2025-04-28,550.85
350.00,,199.71,200.77,201.82,0,2,4.4128,0.98,0.0004,-3.00,0.01,Call,2025-04-28,550.85
355.00,,194.70,195.76,196.82,0,0,4.2872,0.98,0.0004,-2.98,0.01,Call,2025-04-28,550.85
360.00,,189.71,190.77,191.82,0,0,4.1704,0.98,0.0004,-2.97,0.01,Call,2025-04-28,550.85
365.00,,184.71,185.77,186.82,0,0,4.0515,0.98,0.0004,-2.95,0.01,Call,2025-04-28,550.85
370.00,,179.70,180.76,181.82,0,0,3.9305000000000003,0.98,0.0005,-2.92,0.01,Call,2025-04-28,550.85
375.00,175.64,174.70,175.76,176.82,3,3,3.8143000000000002,0.98,0.0005,-2.91,0.02,Call,2025-04-28,550.85
380.00,,169.71,170.77,171.82,0,0,3.7026999999999997,0.98,0.0005,-2.90,0.02,Call,2025-04-28,550.85
385.00,,164.71,165.77,166.82,0,1,3.5888999999999998,0.98,0.0005,-2.88,0.02,Call,2025-04-28,550.85
390.00,,159.71,160.77,161.82,0,0,3.4764,0.98,0.0006,-2.86,0.02,Call,2025-04-28,550.85
395.00,,154.71,155.77,156.82,0,0,3.365,0.98,0.0006,-2.84,0.02,Call,2025-04-28,550.85
400.00,,149.71,150.77,151.82,0,4,3.2547,0.97,0.0006,-2.82,0.02,Call,2025-04-28,550.85
405.00,,144.71,145.77,146.82,0,0,3.1454000000000004,0.97,0.0007,-2.80,0.02,Call,2025-04-28,550.85
410.00,,139.71,140.77,141.82,0,0,3.0370999999999997,0.97,0.0007,-2.78,0.02,Call,2025-04-28,550.85
415.00,,134.71,135.77,136.82,0,0,2.9298,0.97,0.0008,-2.75,0.02,Call,2025-04-28,550.85
420.00,,129.70,130.76,131.82,0,0,2.8207999999999998,0.97,0.0008,-2.72,0.02,Call,2025-04-28,550.85
425.00,,124.70,125.76,126.82,0,0,2.7152999999999996,0.97,0.0009,-2.69,0.02,Call,2025-04-28,550.85
430.00,,119.72,120.77,121.82,0,2,2.6156,0.97,0.0009,-2.69,0.02,Call,2025-04-28,550.85
435.00,,114.70,115.76,116.82,0,0,2.5068,0.97,0.0010,-2.64,0.02,Call,2025-04-28,550.85
440.00,,109.70,110.76,111.82,0,0,2.4037,0.97,0.0011,-2.61,0.02,Call,2025-04-28,550.85
441.00,,108.72,109.77,110.82,0,0,2.3878,0.97,0.0011,-2.63,0.02,Call,2025-04-28,550.85
442.00,,107.71,108.76,109.82,0,1,2.3649,0.97,0.0011,-2.61,0.02,Call,2025-04-28,550.85
443.00,,106.70,107.76,108.82,0,0,2.3421000000000003,0.97,0.0011,-2.60,0.02,Call,2025-04-28,550.85
