Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,IV,Last_Price,OI,UndPrice
400.00,-,226.58,227.61,228.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
405.00,-,221.58,222.61,223.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
410.00,-,216.58,217.61,218.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
415.00,-,211.58,212.61,213.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
420.00,-,206.59,207.61,208.62,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
425.00,-,201.58,202.61,203.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
430.00,-,196.59,197.62,198.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
435.00,-,191.59,192.62,193.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
440.00,-,186.59,187.63,188.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
445.00,-,181.59,182.62,183.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
450.00,-,176.59,177.62,178.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
455.00,-,171.59,172.62,173.64,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
460.00,-,166.57,167.61,168.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
465.00,-,161.57,162.61,163.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
470.00,-,156.57,157.61,158.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
475.00,-,151.59,152.62,153.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
480.00,-,146.59,147.63,148.67,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
485.00,-,141.59,142.62,143.65,0,0,0.00%,1.00,0.0000,-0.05,0.00,Call,2025-07-18,0.0,,0,627.58
490.00,-,136.60,137.63,138.65,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
495.00,-,131.60,132.63,133.65,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
500.00,-,126.59,127.62,128.65,0,1,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,1,627.58
505.00,-,121.60,122.63,123.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
510.00,-,116.58,117.62,118.65,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
515.00,-,111.60,112.63,113.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
520.00,-,106.58,107.62,108.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
525.00,-,101.60,102.63,103.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
530.00,-,96.60,97.65,98.69,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
535.00,-,91.60,92.63,93.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
540.00,86.94,86.61,87.63,88.66,140,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,86.94,0,627.58
545.00,-,81.61,82.63,83.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
550.00,77.08,76.61,77.63,78.66,260,50,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,77.08,50,627.58
555.00,-,71.61,72.63,73.66,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
560.00,-,66.60,67.63,68.67,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
565.00,62.42,61.61,62.64,63.67,1,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,62.42,0,627.58
570.00,-,56.61,57.64,58.67,0,2,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,2,627.58
575.00,-,51.61,52.64,53.67,0,0,0.00%,1.00,0.0000,-0.06,0.00,Call,2025-07-18,0.0,,0,627.58
580.00,-,46.63,47.65,48.67,0,6,0.00%,1.00,0.0000,-0.07,0.00,Call,2025-07-18,0.0,,6,627.58
585.00,42.13,41.60,42.60,43.59,4,11,0.00%,1.00,0.0000,-0.07,0.00,Call,2025-07-18,0.0,42.13,11,627.58
590.00,36.99,36.62,37.65,38.68,1,7,0.00%,1.00,0.0000,-0.07,0.00,Call,2025-07-18,0.0,36.99,7,627.58
591.00,-,35.62,36.67,37.71,0,5,0.00%,1.00,0.0000,-0.07,0.00,Call,2025-07-18,0.0,,5,627.58
592.00,35.49,34.62,35.64,36.67,8,1,0.00%,1.00,0.0000,-0.07,0.00,Call,2025-07-18,0.0,35.49,1,627.58
