Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-17,0,w,683894,676850,0.99,860198,698441,0.81,0.1414,245.00,4.32,0.0179
2025-04-25,8,w,213904,286349,1.34,186621,283687,1.52,0.8865999999999999,247.50,6.82,0.028300000000000002
2025-05-02,15,w,29021,52775,1.82,64799,93074,1.44,0.8019,245.00,4.32,0.0179
2025-05-09,22,w,6981,16770,2.4,34478,29472,0.85,0.7574,240.00,-0.68,-0.0028000000000000004
2025-05-16,29,m,37722,49492,1.31,454766,273329,0.6,0.7315,265.00,24.32,0.10099999999999999
2025-05-23,36,w,2883,2764,0.96,21431,23818,1.11,0.7123999999999999,235.00,-5.68,-0.0236
2025-05-30,43,w,6050,6558,1.08,5821,7103,1.22,0.6927,250.00,9.32,0.0387
2025-06-20,64,m,15986,16524,1.03,544305,585943,1.08,0.6748999999999999,270.00,29.32,0.12179999999999999
2025-07-18,92,m,5686,5757,1.01,163617,113186,0.69,0.6623,300.00,59.32,0.2465
2025-08-15,120,m,5061,3616,0.71,151437,406453,2.68,0.6701,300.00,59.32,0.2465
2025-09-19,155,m,13488,9798,0.73,209037,282395,1.35,0.6527,295.00,54.32,0.2257
2025-10-17,183,m,839,3659,4.36,13469,24433,1.81,0.6476000000000001,255.00,14.32,0.059500000000000004
2025-11-21,218,m,1773,263,0.15,55688,77505,1.39,0.649,365.00,124.32,0.5165
2025-12-19,246,m,6345,2152,0.34,335985,258390,0.77,0.6411,250.00,9.32,0.0387
2026-01-16,274,m,5451,4469,0.82,355309,362822,1.02,0.6355,260.00,19.32,0.0803
2026-03-20,337,m,1647,1530,0.93,67013,203203,3.03,0.6318,280.00,39.32,0.1634
2026-06-18,427,w,1838,1755,0.95,461989,191127,0.41,0.6302,210.00,-30.68,-0.1275
2026-09-18,519,m,410,168,0.41,19760,12885,0.65,0.6315,290.00,49.32,0.20489999999999997
2026-12-18,610,m,2321,292,0.13,193415,139971,0.72,0.634,180.00,-60.68,-0.2521
2027-01-15,638,m,4278,3875,0.91,308425,135631,0.44,0.634,300.00,59.32,0.2465
2027-06-17,791,w,3995,1466,0.37,114428,48499,0.42,0.6382,280.00,39.32,0.1634
2027-12-17,974,m,2956,779,0.26,17211,12476,0.72,0.6392,230.00,-10.68,-0.0444
