Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
50.00,235.56,233.05,235.10,237.15,2,50,10.0,1.00,0.0000,-0.05,0.00,Call,2025-04-25,284.95
55.00,,226.10,229.13,232.15,0,0,10.0,1.00,0.0000,-0.10,0.00,Call,2025-04-25,284.95
60.00,,221.10,224.13,227.15,0,1,9.6835,1.00,0.0000,-0.12,0.00,Call,2025-04-25,284.95
65.00,,216.10,219.13,222.15,0,0,9.1702,1.00,0.0000,-0.12,0.00,Call,2025-04-25,284.95
70.00,212.11,211.05,214.10,217.15,2,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,284.95
75.00,207.24,206.10,209.13,212.15,2,6,8.2561,1.00,0.0000,-0.11,0.00,Call,2025-04-25,284.95
80.00,,201.10,204.13,207.15,0,6,7.8452,1.00,0.0000,-0.11,0.00,Call,2025-04-25,284.95
85.00,,196.10,199.13,202.15,0,4,7.4599,1.00,0.0000,-0.11,0.00,Call,2025-04-25,284.95
90.00,,191.10,194.13,197.15,0,10,7.0971,1.00,0.0000,-0.11,0.00,Call,2025-04-25,284.95
95.00,,186.05,189.10,192.15,0,11,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,284.95
100.00,184.17,183.05,185.10,187.15,1,36,10.0,0.99,0.0002,-2.33,0.00,Call,2025-04-25,284.95
105.00,178.55,176.35,179.27,182.20,4,13,7.7797,1.00,0.0001,-0.70,0.00,Call,2025-04-25,284.95
110.00,,171.05,174.10,177.15,0,23,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,284.95
115.00,,166.05,169.10,172.15,0,10,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,284.95
120.00,164.15,161.10,164.13,167.15,17,19,5.2785,1.00,0.0000,-0.09,0.00,Call,2025-04-25,284.95
125.00,,156.10,159.13,162.15,0,52,5.0212,1.00,0.0000,-0.09,0.00,Call,2025-04-25,284.95
130.00,152.07,151.10,154.13,157.15,2,10,4.774100000000001,1.00,0.0000,-0.09,0.00,Call,2025-04-25,284.95
135.00,147.21,146.05,149.13,152.20,23,20,4.5363,1.00,0.0000,-0.08,0.00,Call,2025-04-25,284.95
140.00,142.15,141.30,144.25,147.20,3,3259,5.528300000000001,1.00,0.0002,-0.59,0.00,Call,2025-04-25,284.95
145.00,139.45,136.35,139.27,142.20,4,10,5.3812999999999995,0.99,0.0002,-0.67,0.00,Call,2025-04-25,284.95
147.00,137.46,134.10,137.63,141.15,2,4,6.1934000000000005,0.99,0.0004,-1.67,0.01,Call,2025-04-25,284.95
148.00,,133.05,136.60,140.15,0,30,6.0887,0.99,0.0004,-1.60,0.01,Call,2025-04-25,284.95
149.00,135.44,132.10,135.63,139.15,4,10,6.0788,0.99,0.0004,-1.66,0.01,Call,2025-04-25,284.95
150.00,134.31,132.70,134.95,137.20,33,75,6.528099999999999,0.98,0.0005,-2.43,0.01,Call,2025-04-25,284.95
152.50,131.77,128.55,132.10,135.65,4,4,5.8359000000000005,0.99,0.0004,-1.59,0.01,Call,2025-04-25,284.95
155.00,131.2,126.10,129.08,132.05,1,46,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,284.95
157.50,126.51,123.60,127.13,130.65,4,4,5.607200000000001,0.98,0.0005,-1.64,0.01,Call,2025-04-25,284.95
160.00,123.45,121.05,124.10,127.15,21,63,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,284.95
162.50,,118.60,122.13,125.65,0,5,5.341,0.98,0.0005,-1.63,0.01,Call,2025-04-25,284.95
165.00,117.24,116.10,119.13,122.15,9,37,3.2721,1.00,0.0000,-0.07,0.00,Call,2025-04-25,284.95
167.50,116.64,113.60,117.13,120.65,4,6,5.0824,0.98,0.0006,-1.61,0.01,Call,2025-04-25,284.95
170.00,114.01,111.10,114.13,117.15,17,762,3.0837,1.00,0.0000,-0.06,0.00,Call,2025-04-25,284.95
172.50,111.96,108.80,112.10,115.40,4,10,4.7919,0.98,0.0006,-1.54,0.01,Call,2025-04-25,284.95
175.00,109.01,107.95,110.08,112.20,742,561,5.2555,0.97,0.0008,-2.59,0.01,Call,2025-04-25,284.95
177.50,106.95,103.80,107.10,110.40,4,12,4.548500000000001,0.98,0.0007,-1.52,0.01,Call,2025-04-25,284.95
180.00,102.05,103.45,105.28,107.10,31,3280,5.1774000000000004,0.97,0.0010,-2.95,0.01,Call,2025-04-25,284.95
182.50,102.28,98.80,102.10,105.40,4,15,4.3111,0.98,0.0007,-1.51,0.01,Call,2025-04-25,284.95
185.00,98.58,96.60,98.88,101.15,13,79,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-25,284.95
187.50,94.3,93.80,97.10,100.40,6,20,4.0794,0.98,0.0008,-1.49,0.01,Call,2025-04-25,284.95
190.00,93.62,93.70,94.60,95.50,47,216,3.9656000000000002,0.98,0.0008,-1.48,0.01,Call,2025-04-25,284.95
192.50,85.55,88.80,92.10,95.40,3,170,3.853,0.98,0.0009,-1.47,0.01,Call,2025-04-25,284.95
195.00,89.66,88.30,89.53,90.75,19,278,3.6393,0.98,0.0009,-1.28,0.01,Call,2025-04-25,284.95
197.50,,83.80,87.10,90.40,0,52,3.6313999999999997,0.98,0.0010,-1.45,0.01,Call,2025-04-25,284.95
200.00,84.8,83.50,85.30,87.10,395,1373,4.1693,0.96,0.0015,-2.85,0.01,Call,2025-04-25,284.95
202.50,83.33,81.25,83.33,85.40,2,985,4.3888,0.94,0.0017,-3.70,0.02,Call,2025-04-25,284.95
205.00,78.48,78.95,80.58,82.20,243,575,4.1081,0.95,0.0017,-3.27,0.02,Call,2025-04-25,284.95
207.50,71.8,73.60,77.00,80.40,13,243,3.0784,0.98,0.0011,-1.18,0.01,Call,2025-04-25,284.95
210.00,74.75,74.20,74.85,75.50,77,831,3.3425,0.97,0.0015,-1.93,0.01,Call,2025-04-25,284.95
212.50,72.15,70.65,73.03,75.40,5,463,3.7075,0.94,0.0020,-3.11,0.02,Call,2025-04-25,284.95
215.00,66.85,68.25,69.68,71.10,80,546,2.9657,0.97,0.0016,-1.54,0.01,Call,2025-04-25,284.95
217.50,65.0,65.05,67.03,69.00,26,453,2.7056999999999998,0.97,0.0015,-1.20,0.01,Call,2025-04-25,284.95
220.00,63.9,63.90,64.88,65.85,537,1360,2.9263999999999997,0.96,0.0020,-1.91,0.01,Call,2025-04-25,284.95
222.50,61.67,61.35,63.38,65.40,89,836,3.4092000000000002,0.93,0.0027,-3.51,0.02,Call,2025-04-25,284.95
225.00,59.5,58.15,59.65,61.15,454,2879,2.531,0.97,0.0020,-1.44,0.01,Call,2025-04-25,284.95
227.50,57.26,55.25,57.85,60.45,162,1007,2.9012000000000002,0.94,0.0028,-2.65,0.02,Call,2025-04-25,284.95
230.00,55.02,54.50,55.83,57.15,1075,5210,3.0222,0.92,0.0033,-3.32,0.02,Call,2025-04-25,284.95
232.50,52.37,51.45,52.58,53.70,229,1211,2.522,0.94,0.0030,-2.15,0.02,Call,2025-04-25,284.95
235.00,49.78,48.30,49.75,51.20,1757,3880,2.2068,0.96,0.0029,-1.56,0.01,Call,2025-04-25,284.95
237.50,47.29,47.10,48.75,50.40,515,1823,2.8356,0.90,0.0042,-3.72,0.03,Call,2025-04-25,284.95
240.00,44.7,44.70,45.48,46.25,2119,8004,2.396,0.92,0.0042,-2.66,0.02,Call,2025-04-25,284.95
242.50,42.25,42.15,43.00,43.85,518,3122,2.2937,0.92,0.0045,-2.65,0.02,Call,2025-04-25,284.95
245.00,39.7,38.30,39.80,41.30,2249,5292,1.8356000000000001,0.94,0.0041,-1.56,0.02,Call,2025-04-25,284.95
247.50,37.21,34.10,36.20,38.30,783,1984,0.0,1.00,0.0000,-0.03,0.00,Call,2025-04-25,284.95
250.00,34.93,34.50,35.45,36.40,13358,12895,1.9338,0.91,0.0058,-2.44,0.02,Call,2025-04-25,284.95
252.50,32.33,32.15,32.93,33.70,2420,3414,1.8115,0.90,0.0064,-2.36,0.03,Call,2025-04-25,284.95
255.00,29.9,29.65,30.35,31.05,11296,9023,1.6706,0.90,0.0071,-2.21,0.03,Call,2025-04-25,284.95
257.50,27.51,26.95,28.85,30.75,10459,10249,1.8821,0.85,0.0082,-3.25,0.03,Call,2025-04-25,284.95
260.00,25.02,24.80,25.03,25.25,45641,23780,1.3256000000000001,0.91,0.0085,-1.68,0.03,Call,2025-04-25,284.95
262.50,22.28,21.70,22.23,22.75,37645,14489,1.0946,0.92,0.0091,-1.23,0.02,Call,2025-04-25,284.95
265.00,20.2,19.75,19.98,20.20,97640,25942,1.0925,0.89,0.0113,-1.51,0.03,Call,2025-04-25,284.95
267.50,17.5,17.20,17.88,18.55,47467,4624,1.1118999999999999,0.86,0.0137,-1.89,0.03,Call,2025-04-25,284.95
270.00,14.91,14.75,15.38,16.00,147461,26623,0.9941,0.84,0.0163,-1.80,0.04,Call,2025-04-25,284.95
272.50,12.49,12.30,14.03,15.75,62933,8729,1.1457,0.77,0.0180,-2.63,0.05,Call,2025-04-25,284.95
275.00,9.87,8.25,9.43,10.60,125602,15151,0.47009999999999996,0.91,0.0233,-0.60,0.02,Call,2025-04-25,284.95
277.50,7.75,6.95,8.38,9.80,83155,10261,0.7275,0.74,0.0301,-1.78,0.05,Call,2025-04-25,284.95
280.00,4.85,4.80,4.90,5.00,231200,22477,0.3836,0.77,0.0532,-0.89,0.05,Call,2025-04-25,284.95
282.50,2.5,2.31,2.40,2.48,150246,4702,0.2426,0.68,0.0995,-0.67,0.05,Call,2025-04-25,284.95
285.00,0.2,0.19,0.21,0.23,348189,13148,0.0902,0.26,0.2416,-0.23,0.05,Call,2025-04-25,284.95
287.50,0.01,0.01,0.02,0.02,137342,5239,0.11349999999999999,0.02,0.0332,-0.05,0.01,Call,2025-04-25,284.95
290.00,0.05,0.00,0.01,0.01,180776,17056,0.1574,0.01,0.0079,-0.02,0.00,Call,2025-04-25,284.95
292.50,0.01,0.00,0.01,0.01,56278,13663,0.2147,0.00,0.0045,-0.02,0.00,Call,2025-04-25,284.95
295.00,0.01,0.00,0.01,0.01,49077,9519,0.27,0.00,0.0030,-0.02,0.00,Call,2025-04-25,284.95
297.50,0.01,0.00,0.01,0.01,14802,2755,0.32380000000000003,0.00,0.0021,-0.02,0.00,Call,2025-04-25,284.95
300.00,0.01,0.00,0.01,0.01,66576,41441,0.3762,0.00,0.0016,-0.03,0.00,Call,2025-04-25,284.95
302.50,0.01,0.00,0.01,0.01,7167,2434,0.4275,0.00,0.0013,-0.03,0.00,Call,2025-04-25,284.95
305.00,0.01,0.00,0.01,0.01,11517,5728,0.4779,0.00,0.0010,-0.03,0.00,Call,2025-04-25,284.95
307.50,0.01,0.00,0.01,0.01,2246,3000,0.5273,0.00,0.0009,-0.03,0.00,Call,2025-04-25,284.95
310.00,0.01,0.00,0.01,0.01,5314,5208,0.5759000000000001,0.00,0.0007,-0.03,0.00,Call,2025-04-25,284.95
312.50,0.01,0.00,0.01,0.01,3638,814,0.6236999999999999,0.00,0.0006,-0.03,0.00,Call,2025-04-25,284.95
315.00,0.01,0.00,0.01,0.01,4106,4644,0.6708,0.00,0.0006,-0.03,0.00,Call,2025-04-25,284.95
317.50,0.01,0.00,0.01,0.01,2721,1390,0.7173,0.00,0.0005,-0.03,0.00,Call,2025-04-25,284.95
320.00,0.01,0.00,0.01,0.01,4725,6830,0.7631,0.00,0.0004,-0.03,0.00,Call,2025-04-25,284.95
322.50,0.01,0.00,0.01,0.01,801,1771,0.8083,0.00,0.0004,-0.03,0.00,Call,2025-04-25,284.95
325.00,0.01,0.00,0.01,0.01,1353,4501,0.8529000000000001,0.00,0.0004,-0.03,0.00,Call,2025-04-25,284.95
327.50,0.01,0.00,0.01,0.01,843,762,0.897,0.00,0.0003,-0.03,0.00,Call,2025-04-25,284.95
330.00,0.01,0.00,0.01,0.01,2070,5292,0.9406,0.00,0.0003,-0.03,0.00,Call,2025-04-25,284.95
332.50,0.01,0.00,0.01,0.01,119,459,0.9836,0.00,0.0003,-0.03,0.00,Call,2025-04-25,284.95
335.00,0.01,0.00,0.01,0.01,1186,6137,1.0262,0.00,0.0003,-0.03,0.00,Call,2025-04-25,284.95
337.50,0.01,0.00,0.01,0.01,17,1993,1.0682,0.00,0.0002,-0.03,0.00,Call,2025-04-25,284.95
340.00,0.01,0.00,0.01,0.01,360,5966,1.1098999999999999,0.00,0.0002,-0.03,0.00,Call,2025-04-25,284.95
345.00,0.01,0.00,0.01,0.01,22,3314,1.1917,0.00,0.0002,-0.03,0.00,Call,2025-04-25,284.95
350.00,0.01,0.00,0.01,0.01,513,8390,1.272,0.00,0.0002,-0.03,0.00,Call,2025-04-25,284.95
355.00,0.01,0.00,0.01,0.01,63,2898,1.3507,0.00,0.0002,-0.03,0.00,Call,2025-04-25,284.95
360.00,0.01,0.00,0.01,0.01,118,4332,1.4277000000000002,0.00,0.0001,-0.03,0.00,Call,2025-04-25,284.95
365.00,0.01,0.00,0.01,0.01,81,1478,1.5034,0.00,0.0001,-0.03,0.00,Call,2025-04-25,284.95
