Expiration,VolumeCall,VolumePut,PutCallRatio,OICall,OIPut,PutCallRatio,ImpliedVol,MaxPain,MaxPainvsCurrPrice
"Mar 18, 2025 (5 days) (w)","170,806","65,019",0.38,"3,451,277","2,296,262",0.67,133.55%,20.00,-5.15 (-20.48%)
"Mar 26, 2025 (13 days) (w)","4,021","3,875",0.96,"34,395","9,610",0.28,137.98%,18.00,-7.15 (-28.43%)
"Apr 02, 2025 (20 days) (w)",371,184,0.5,"4,207","3,589",0.85,134.76%,22.00,-3.15 (-12.52%)
"Apr 09, 2025 (27 days) (w)",186,77,0.41,"1,282",901,0.7,125.46%,24.00,-1.15 (-4.57%)
"Apr 16, 2025 (34 days) (w)","159,662","47,582",0.3,"3,012,671","1,402,706",0.47,115.49%,20.00,-5.15 (-20.48%)
"Apr 23, 2025 (41 days) (w)",69,9,0.13,0,0,0,107.85%,10.50,-14.65 (-58.25%)
"May 21, 2025 (69 days) (w)","46,251","30,789",0.67,"1,736,906","515,564",0.3,94.88%,19.00,-6.15 (-24.45%)
"Jun 18, 2025 (97 days) (w)","91,410","12,932",0.14,"845,181","326,094",0.39,86.24%,20.00,-5.15 (-20.48%)
"Jul 16, 2025 (125 days) (w)","2,786","6,840",2.46,"391,207","85,064",0.22,78.13%,20.00,-5.15 (-20.48%)
"Aug 20, 2025 (160 days) (w)","1,144","6,051",5.29,"803,116","48,704",0.06,72.08%,19.00,-6.15 (-24.45%)
"Sep 17, 2025 (188 days) (w)",67,73,1.09,"55,582","50,788",0.91,67.88%,20.00,-5.15 (-20.48%)
"Oct 22, 2025 (223 days) (w)",110,75,0.68,"24,502","15,083",0.62,63.82%,21.00,-4.15 (-16.50%)
"Nov 19, 2025 (251 days) (w)",11,8,0.73,"14,196","3,897",0.27,63.51%,21.00,-4.15 (-16.50%)
