Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-03-26,2,w,6155,11594,1.88,63494,21828,0.34,0.6758,19.00,1.34,0.0759
2025-04-02,9,w,4461,2458,0.55,13105,5246,0.4,0.7595000000000001,20.00,2.34,0.1325
2025-04-09,16,w,15442,1106,0.07,6248,1541,0.25,0.7006,19.00,1.34,0.0759
2025-04-16,23,w,291252,125592,0.43,3447086,1654688,0.48,0.6631,20.00,2.34,0.1325
2025-04-23,30,w,1451,281,0.19,1708,591,0.35,0.7583,19.00,1.34,0.0759
2025-05-21,58,w,145198,73822,0.51,2017762,616464,0.31,0.6486,19.50,1.84,0.1042
2025-06-18,86,w,85294,22658,0.27,1179161,353268,0.3,0.6401,20.00,2.34,0.1325
2025-07-16,114,w,30729,17377,0.57,446791,120665,0.27,0.6041,20.00,2.34,0.1325
2025-08-20,149,w,36781,6410,0.17,826015,64706,0.08,0.5719,20.00,2.34,0.1325
2025-09-17,177,w,23000,5599,0.24,78285,59915,0.77,0.5533,20.00,2.34,0.1325
2025-10-22,212,w,658,99,0.15,27376,15364,0.56,0.5275,21.00,3.34,0.1891
2025-11-19,240,w,607,322,0.53,16799,3998,0.24,0.5416,21.00,3.34,0.1891
