Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,ExpectedMove,ExpectedMove_pct,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-07-23,5,w,6177,1772,0.29,37962,16056,0.42,1.2094,1.67,0.0877,18.0,-1.05,-0.055099999999999996
2025-07-30,12,w,1418,172,0.12,21705,2917,0.13,0.8547,1.92,0.10099999999999999,18.0,-1.05,-0.055099999999999996
2025-08-06,19,w,894,162,0.18,3922,1381,0.35,0.8556999999999999,2.53,0.1329,17.0,-2.05,-0.1076
2025-08-13,26,w,556,89,0.16,3109,685,0.22,0.8033,2.83,0.1485,17.0,-2.05,-0.1076
2025-08-20,33,w,308648,215944,0.7,3245922,1154192,0.36,0.8125,3.45,0.1809,20.0,0.95,0.0499
2025-09-17,61,w,88916,47983,0.54,1588007,542964,0.34,0.7854000000000001,4.59,0.24100000000000002,21.0,1.95,0.1024
2025-10-22,96,w,81273,46841,0.58,864830,188461,0.22,0.7308,5.18,0.2717,21.0,1.95,0.1024
2025-11-19,124,w,9743,5821,0.6,728907,150380,0.21,0.6823,5.5,0.28859999999999997,21.0,1.95,0.1024
2025-12-17,152,w,17307,2879,0.17,257144,130490,0.51,0.6448,5.75,0.302,21.0,1.95,0.1024
2026-01-21,187,w,75992,12686,0.17,172619,45912,0.27,0.6049,6.0,0.3152,18.0,-1.05,-0.055099999999999996
2026-02-18,215,w,24,0,0.0,4635,612,0.13,0.5937,6.33,0.3323,16.0,-3.05,-0.16010000000000002
2026-03-18,243,w,143,11,0.08,4528,1190,0.26,0.5868,6.65,0.34909999999999997,15.0,-4.05,-0.2126
