Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
10.00,,25.05,25.65,26.25,0,6195,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
10.50,23.33,24.55,25.15,25.75,12,68,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
11.00,25.5,24.05,24.65,25.25,1,201,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
11.50,,23.55,24.20,24.85,0,12,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
12.00,27.55,23.05,23.70,24.35,213,1598,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
12.50,21.0,22.55,23.20,23.85,6,663,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
13.00,,22.50,22.73,22.95,0,2722,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
13.50,,21.55,22.18,22.80,0,1140,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
14.00,21.95,21.05,21.68,22.30,11,3933,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
14.50,21.57,21.10,21.25,21.40,1,907,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
15.00,19.9,20.50,20.63,20.75,299,5682,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
15.50,,19.65,20.23,20.80,0,242,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
16.00,19.94,19.05,19.68,20.30,8,4774,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
16.50,23.08,18.65,19.23,19.80,4,666,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
17.00,19.4,18.60,18.75,18.90,268,29367,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
17.50,20.5,17.65,18.23,18.80,956,4130,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
18.00,16.9,17.50,17.63,17.75,3069,133220,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
18.50,,17.00,17.15,17.30,0,12911,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
19.00,17.4,16.60,16.75,16.90,80,67013,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
19.50,15.3,15.55,16.18,16.80,1,49508,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
20.00,15.85,15.20,15.78,16.35,12016,181899,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
20.50,15.4,15.10,15.25,15.40,5,90702,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
21.00,14.9,14.10,14.73,15.35,3367,132983,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
21.50,14.4,13.75,14.28,14.80,763,37793,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
22.00,13.95,13.50,13.75,14.00,27712,225401,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
22.50,13.45,13.05,13.18,13.30,32,31129,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
23.00,12.85,12.70,12.85,13.00,63,65463,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
23.50,12.45,12.05,12.35,12.65,3,14674,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
24.00,11.95,11.60,11.75,11.90,408,84942,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
24.50,11.55,11.15,11.28,11.40,774,18736,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
25.00,11.0,10.75,11.00,11.25,484,152874,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
26.00,10.25,10.00,10.15,10.30,1926,78820,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
27.00,9.45,9.00,9.33,9.65,821,24819,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
28.00,8.75,8.30,8.63,8.95,5941,67198,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
29.00,8.1,7.60,7.93,8.25,1434,58301,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
30.00,7.45,7.10,7.30,7.50,11323,101794,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
31.00,6.8,6.60,6.78,6.95,1584,47208,0.0,1.00,0.0000,0.00,0.00,Call,2025-04-16,40.72
32.00,6.4,6.10,6.35,6.60,2476,27330,1.2983000000000002,0.86,0.0347,-0.12,0.01,Call,2025-04-16,40.72
33.00,5.9,5.65,5.85,6.05,13411,38914,1.5204,0.79,0.0391,-0.18,0.01,Call,2025-04-16,40.72
34.00,5.5,5.25,5.43,5.60,4239,15965,1.6950999999999998,0.73,0.0403,-0.23,0.02,Call,2025-04-16,40.72
35.00,5.3,4.85,5.03,5.20,25483,117084,1.8249000000000002,0.68,0.0406,-0.27,0.02,Call,2025-04-16,40.72
36.00,4.71,4.50,4.68,4.85,5826,40852,1.9415,0.63,0.0401,-0.30,0.02,Call,2025-04-16,40.72
37.00,4.5,4.20,4.38,4.55,5852,27983,2.0525,0.59,0.0391,-0.33,0.02,Call,2025-04-16,40.72
38.00,4.05,3.90,4.08,4.25,19850,38595,2.1372,0.55,0.0382,-0.34,0.02,Call,2025-04-16,40.72
39.00,3.9,3.60,3.78,3.95,9286,133181,2.2004,0.52,0.0373,-0.36,0.02,Call,2025-04-16,40.72
40.00,3.7,3.40,3.55,3.70,35760,246941,2.2836000000000003,0.48,0.0360,-0.37,0.02,Call,2025-04-16,40.72
42.50,3.0,2.90,2.97,3.05,3350,189568,2.4179,0.41,0.0332,-0.38,0.02,Call,2025-04-16,40.72
45.00,2.51,2.28,2.43,2.59,15831,101599,2.4905,0.35,0.0307,-0.38,0.02,Call,2025-04-16,40.72
47.50,2.2,1.86,2.03,2.19,7453,28543,2.5688999999999997,0.30,0.0279,-0.36,0.02,Call,2025-04-16,40.72
50.00,1.72,1.56,1.73,1.89,17680,126008,2.6593999999999998,0.26,0.0251,-0.35,0.02,Call,2025-04-16,40.72
55.00,1.23,1.20,1.30,1.39,67975,145317,2.83,0.20,0.0203,-0.32,0.01,Call,2025-04-16,40.72
60.00,0.9,0.81,0.88,0.95,28738,67310,2.8722000000000003,0.14,0.0162,-0.26,0.01,Call,2025-04-16,40.72
