Strike,Last Price,Bid,Mid,Ask,Volume,Open Interest,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,IV,Last_Price,OI,UndPrice
10.00,-,5.90,7.85,9.80,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
10.50,-,5.40,7.35,9.30,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
11.00,-,4.90,6.85,8.80,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
11.50,-,4.40,6.35,8.30,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
12.00,-,3.90,5.85,7.80,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
12.50,-,3.40,5.35,7.30,0,0,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,0,16.41
13.00,-,2.93,4.89,6.85,0,3,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,3,16.41
13.50,-,4.00,4.15,4.30,0,190,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,,190,16.41
14.00,3.55,3.50,3.65,3.80,2,63,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,3.55,63,16.41
14.50,3.45,3.00,3.15,3.30,6,160,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,3.45,160,16.41
15.00,2.76,2.53,2.67,2.81,22,91,0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,2.76,91,16.41
16.00,1.80,1.75,1.81,1.86,272,"1,954",0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,1.8,1954,16.41
17.00,1.13,0.95,1.04,1.13,1188,"1,295",0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,1.13,1295,16.41
18.00,0.58,0.60,0.62,0.63,1922,"2,345",0.00%,1.00,0.0000,0.00,0.00,Call,2025-07-23,0.0,0.58,2345,16.41
19.00,0.45,0.40,0.43,0.45,202,"1,963",45.01%,0.53,0.4017,-0.04,0.01,Call,2025-07-23,0.4501,0.45,1963,16.41
20.00,0.29,0.20,0.26,0.32,706,"2,879",68.99%,0.29,0.2243,-0.05,0.01,Call,2025-07-23,0.6899,0.29,2879,16.41
21.00,0.22,0.15,0.20,0.25,690,"9,204",90.66%,0.19,0.1366,-0.06,0.01,Call,2025-07-23,0.9066,0.22,9204,16.41
22.00,0.20,0.10,0.15,0.20,583,"1,515",106.35%,0.13,0.0924,-0.05,0.00,Call,2025-07-23,1.0635,0.2,1515,16.41
23.00,0.15,0.09,0.13,0.17,84,"1,150",123.42%,0.11,0.0675,-0.05,0.00,Call,2025-07-23,1.2342,0.15,1150,16.41
24.00,0.11,0.11,0.13,0.14,79,865,141.63%,0.09,0.0530,-0.05,0.00,Call,2025-07-23,1.4163,0.11,865,16.41
25.00,0.10,0.07,0.10,0.13,164,"5,598",151.84%,0.07,0.0411,-0.05,0.00,Call,2025-07-23,1.5184,0.1,5598,16.41
26.00,0.10,0.05,0.08,0.11,8,"3,072",160.69%,0.06,0.0323,-0.04,0.00,Call,2025-07-23,1.6069,0.1,3072,16.41
27.00,0.08,0.04,0.07,0.10,6,168,171.23%,0.05,0.0266,-0.04,0.00,Call,2025-07-23,1.7123,0.08,168,16.41
28.00,0.05,0.04,0.07,0.09,1,164,182.66%,0.04,0.0227,-0.04,0.00,Call,2025-07-23,1.8266,0.05,164,16.41
29.00,0.06,0.03,0.06,0.08,4,55,190.22%,0.04,0.0188,-0.03,0.00,Call,2025-07-23,1.9022,0.06,55,16.41
30.00,0.06,0.04,0.06,0.08,134,"2,854",205.35%,0.04,0.0176,-0.04,0.00,Call,2025-07-23,2.0535,0.06,2854,16.41
31.00,0.04,0.02,0.05,0.07,50,53,207.40%,0.03,0.0140,-0.03,0.00,Call,2025-07-23,2.074,0.04,53,16.41
32.00,0.03,0.02,0.05,0.07,2,86,218.31%,0.03,0.0129,-0.03,0.00,Call,2025-07-23,2.1831,0.03,86,16.41
33.00,0.03,0.01,0.03,0.06,1,82,220.55%,0.02,0.0105,-0.03,0.00,Call,2025-07-23,2.2055000000000002,0.03,82,16.41
34.00,-,0.01,0.03,0.06,0,123,230.36%,0.02,0.0097,-0.03,0.00,Call,2025-07-23,2.3036000000000003,,123,16.41
35.00,0.06,0.01,0.03,0.05,1,169,234.81%,0.02,0.0084,-0.02,0.00,Call,2025-07-23,2.3481,0.06,169,16.41
36.00,-,0.00,0.03,0.05,0,46,238.05%,0.01,0.0071,-0.02,0.00,Call,2025-07-23,2.3805,,46,16.41
37.00,-,0.00,0.03,0.05,0,65,246.56%,0.01,0.0067,-0.02,0.00,Call,2025-07-23,2.4656000000000002,,65,16.41
38.00,-,0.00,0.03,0.05,0,60,254.79%,0.01,0.0063,-0.02,0.00,Call,2025-07-23,2.5479,,60,16.41
39.00,-,0.00,0.02,0.04,0,80,255.69%,0.01,0.0053,-0.02,0.00,Call,2025-07-23,2.5569,,80,16.41
40.00,-,0.00,0.02,0.04,0,186,263.26%,0.01,0.0050,-0.02,0.00,Call,2025-07-23,2.6326,,186,16.41
42.50,0.02,0.00,0.02,0.04,2,42,281.22%,0.01,0.0045,-0.02,0.00,Call,2025-07-23,2.8122000000000003,0.02,42,16.41
45.00,-,0.00,0.02,0.03,0,87,288.49%,0.01,0.0034,-0.01,0.00,Call,2025-07-23,2.8849,,87,16.41
47.50,-,0.00,0.02,0.03,0,49,303.78%,0.01,0.0031,-0.01,0.00,Call,2025-07-23,3.0378,,49,16.41
50.00,-,0.00,0.02,0.03,0,702,318.16%,0.01,0.0029,-0.01,0.00,Call,2025-07-23,3.1816000000000004,,702,16.41
55.00,-,0.00,0.02,0.03,0,287,344.52%,0.01,0.0025,-0.01,0.00,Call,2025-07-23,3.4452,,287,16.41
60.00,0.01,0.00,0.02,0.03,29,105,368.24%,0.01,0.0022,-0.02,0.00,Call,2025-07-23,3.6824,0.01,105,16.41
65.00,0.03,0.00,0.02,0.03,6,15,389.78%,0.01,0.0020,-0.02,0.00,Call,2025-07-23,3.8977999999999997,0.03,15,16.41
70.00,-,0.00,0.02,0.03,0,6,409.51%,0.01,0.0019,-0.02,0.00,Call,2025-07-23,4.0950999999999995,,6,16.41
75.00,-,0.00,0.02,0.03,0,5,427.69%,0.01,0.0017,-0.02,0.00,Call,2025-07-23,4.2769,,5,16.41
80.00,-,0.00,0.02,0.03,0,27,444.55%,0.01,0.0016,-0.02,0.00,Call,2025-07-23,4.4455,,27,16.41
85.00,-,0.00,0.01,0.02,0,4,443.22%,0.00,0.0012,-0.01,0.00,Call,2025-07-23,4.4322,,4,16.41
90.00,-,0.00,0.01,0.02,0,4,457.53%,0.00,0.0011,-0.01,0.00,Call,2025-07-23,4.5752999999999995,,4,16.41
95.00,0.02,0.00,0.01,0.02,3,0,470.97%,0.00,0.0011,-0.01,0.00,Call,2025-07-23,4.709700000000001,0.02,0,16.41
100.00,0.01,0.00,0.01,0.02,10,91,483.65%,0.00,0.0010,-0.01,0.00,Call,2025-07-23,4.8365,0.01,91,16.41
10.00,-,0.00,0.00,0.00,0,4,72.51%,0.00,0.0000,0.00,0.00,Put,2025-07-23,0.7251000000000001,,4,16.41
10.50,-,0.00,0.01,0.02,0,0,216.66%,-0.01,0.0036,-0.01,0.00,Put,2025-07-23,2.1666,,0,16.41
11.00,-,0.00,0.01,0.01,0,10,185.54%,0.00,0.0027,0.00,0.00,Put,2025-07-23,1.8554,,10,16.41
