Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-11,2,w,17537,21566,1.23,17253,39012,2.26,3.892,65.00,-20.19,-0.237
2025-04-17,8,w,6544,12969,1.98,37666,78849,2.09,2.8266000000000004,55.00,-30.19,-0.3544
2025-04-25,16,w,2132,3304,1.55,6690,9306,1.39,2.3021000000000003,59.00,-26.19,-0.3075
2025-05-02,23,w,1428,3485,2.44,3903,7716,1.98,2.0932,60.00,-25.19,-0.2957
2025-05-09,30,w,455,551,1.21,3071,2132,0.69,1.8547,55.00,-30.19,-0.3544
2025-05-16,37,m,3881,16434,4.23,25191,54209,2.15,1.8209,60.00,-25.19,-0.2957
2025-05-23,44,w,416,979,2.35,1093,1110,1.02,1.6891999999999998,56.00,-29.19,-0.3427
2025-06-20,72,m,3373,5245,1.55,27981,24083,0.86,1.511,55.00,-30.19,-0.3544
2025-09-19,163,m,1655,754,0.46,9691,10970,1.13,1.2821,55.00,-30.19,-0.3544
2026-01-16,282,m,1159,748,0.65,12751,16228,1.27,1.1152,50.00,-35.19,-0.4131
2027-01-15,646,m,151,236,1.56,1742,2493,1.43,0.9987,50.00,-35.19,-0.4131
