Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
25.00,50.35,49.95,51.45,52.95,20,0,10.0,0.95,0.0015,-1.14,0.01,Call,2025-04-25,70.94
26.00,,48.95,50.43,51.90,0,0,9.9235,0.95,0.0016,-1.21,0.01,Call,2025-04-25,70.94
27.00,,48.00,49.48,50.95,0,0,9.6708,0.94,0.0017,-1.22,0.01,Call,2025-04-25,70.94
28.00,,47.00,48.48,49.95,0,0,9.3631,0.94,0.0018,-1.22,0.01,Call,2025-04-25,70.94
29.00,,45.95,47.45,48.95,0,0,9.0364,0.94,0.0020,-1.21,0.01,Call,2025-04-25,70.94
30.00,,45.00,46.45,47.90,0,0,8.7532,0.94,0.0021,-1.20,0.01,Call,2025-04-25,70.94
31.00,,43.95,45.43,46.90,0,0,8.4506,0.94,0.0022,-1.19,0.01,Call,2025-04-25,70.94
32.00,,42.10,44.03,45.95,0,0,7.709,0.94,0.0023,-1.03,0.01,Call,2025-04-25,70.94
33.00,,41.10,43.10,45.10,0,0,7.5583,0.94,0.0025,-1.06,0.01,Call,2025-04-25,70.94
34.00,,40.95,42.45,43.95,0,0,7.7163,0.93,0.0026,-1.18,0.01,Call,2025-04-25,70.94
35.00,,39.95,41.43,42.90,0,6,7.4512,0.93,0.0028,-1.17,0.01,Call,2025-04-25,70.94
36.00,,38.05,39.88,41.70,0,0,6.6189,0.93,0.0029,-0.96,0.01,Call,2025-04-25,70.94
37.00,,37.05,38.88,40.70,0,0,6.4102,0.93,0.0031,-0.95,0.01,Call,2025-04-25,70.94
38.00,,36.65,38.28,39.90,0,0,6.6287,0.92,0.0033,-1.09,0.01,Call,2025-04-25,70.94
39.00,33.88,35.95,37.10,38.25,1,4,6.244800000000001,0.92,0.0035,-1.02,0.01,Call,2025-04-25,70.94
40.00,32.27,34.70,35.95,37.20,6,18,5.8947,0.92,0.0037,-0.96,0.01,Call,2025-04-25,70.94
41.00,,33.95,35.45,36.95,0,0,6.181799999999999,0.91,0.0039,-1.13,0.01,Call,2025-04-25,70.94
42.00,30.37,32.15,34.03,35.90,1,8,5.5921,0.92,0.0041,-0.97,0.01,Call,2025-04-25,70.94
