Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-11,8,w,12,0,0.0,0,0,0,0.40659999999999996,81.00,-2.04,-0.0246
2025-04-17,14,w,883,3903,4.42,13325,26262,1.97,0.2658,86.00,2.96,0.0356
2025-04-25,22,w,0,0,0,0,0,0,0.259,81.00,-2.04,-0.0246
2025-05-02,29,w,2,1,0.5,0,0,0,0.2361,81.00,-2.04,-0.0246
2025-05-09,36,w,0,0,0,0,0,0,0.22190000000000001,81.00,-2.04,-0.0246
2025-05-16,43,m,225,878,3.9,36458,57624,1.58,0.2296,86.00,2.96,0.0356
2025-05-23,50,w,0,0,0,0,0,0,0.205,81.00,-2.04,-0.0246
2025-06-20,78,m,1780,1838,1.03,46145,40565,0.88,0.21600000000000003,86.00,2.96,0.0356
2025-09-19,169,m,99,53,0.54,24303,9218,0.38,0.203,90.00,6.96,0.08380000000000001
2026-01-16,288,m,147,51,0.35,3478,7147,2.05,0.1957,86.00,2.96,0.0356
2027-01-15,652,m,21,0,0.0,907,2764,3.05,0.1783,85.00,1.96,0.0236
