Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
58.00,,19.10,21.60,24.10,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
59.00,,18.35,20.85,23.35,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
60.00,,17.10,19.60,22.10,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
61.00,,16.10,18.60,21.10,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
62.00,,14.95,17.45,19.95,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
63.00,,14.00,16.48,18.95,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
64.00,,13.10,15.60,18.10,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
65.00,,12.35,14.85,17.35,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
66.00,,11.15,13.65,16.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
67.00,,10.15,12.65,15.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
68.00,,9.15,11.65,14.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
69.00,,8.15,10.65,13.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
70.00,,7.10,9.60,12.10,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
71.00,,6.20,8.70,11.20,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
72.00,,5.00,7.50,10.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
73.00,,4.15,6.65,9.15,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
73.50,,3.75,6.25,8.75,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
74.00,,3.25,5.75,8.25,0,2,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
74.50,,2.60,5.10,7.60,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
75.00,,2.25,4.73,7.20,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
75.50,,1.90,4.38,6.85,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
76.00,,1.40,3.90,6.40,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
76.50,,0.90,3.40,5.90,0,1,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
77.00,,0.35,2.85,5.35,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-25,81.38
78.00,,0.05,2.53,5.00,0,3,0.4054,0.77,0.1020,-0.15,0.02,Call,2025-04-25,81.38
78.50,,0.00,2.40,4.80,0,8,0.5014,0.68,0.0978,-0.22,0.03,Call,2025-04-25,81.38
79.00,1.21,0.05,2.55,5.05,1,0,0.6709999999999999,0.60,0.0790,-0.32,0.03,Call,2025-04-25,81.38
79.50,0.98,0.10,2.60,5.10,2,0,0.7863,0.56,0.0691,-0.38,0.03,Call,2025-04-25,81.38
80.00,0.6,0.01,2.51,5.00,4,2,0.8421,0.52,0.0651,-0.41,0.03,Call,2025-04-25,81.38
80.50,,0.00,2.40,4.80,0,12,0.8883,0.49,0.0618,-0.43,0.03,Call,2025-04-25,81.38
81.00,0.44,0.00,2.40,4.80,3,7,0.9655,0.47,0.0567,-0.47,0.03,Call,2025-04-25,81.38
81.50,0.3,0.00,0.28,0.55,8,13,0.2647,0.24,0.1633,-0.10,0.02,Call,2025-04-25,81.38
82.00,0.33,0.00,2.40,4.80,18,24,1.1085,0.43,0.0488,-0.53,0.03,Call,2025-04-25,81.38
82.50,0.28,0.00,2.40,4.80,2,30,1.1756,0.41,0.0456,-0.56,0.03,Call,2025-04-25,81.38
83.00,0.11,0.00,2.40,4.80,7,3,1.2402,0.40,0.0429,-0.58,0.03,Call,2025-04-25,81.38
83.50,,0.00,2.40,4.80,0,11,1.3026,0.39,0.0404,-0.61,0.03,Call,2025-04-25,81.38
84.00,,0.00,0.13,0.25,0,0,0.39149999999999996,0.10,0.0595,-0.08,0.01,Call,2025-04-25,81.38
84.50,,0.00,2.40,4.80,0,1,1.4221000000000001,0.36,0.0364,-0.65,0.03,Call,2025-04-25,81.38
85.00,0.05,0.00,0.23,0.45,1,0,0.5402,0.12,0.0507,-0.13,0.01,Call,2025-04-25,81.38
85.50,,0.00,2.40,4.80,0,2,1.5353999999999999,0.35,0.0331,-0.69,0.03,Call,2025-04-25,81.38
86.00,,0.00,2.40,4.80,0,1,1.5900999999999998,0.34,0.0317,-0.71,0.03,Call,2025-04-25,81.38
86.50,,0.00,2.40,4.80,0,0,1.6435,0.33,0.0304,-0.72,0.03,Call,2025-04-25,81.38
87.00,,0.00,2.40,4.80,0,0,1.6958000000000002,0.32,0.0292,-0.74,0.03,Call,2025-04-25,81.38
87.50,,0.00,2.40,4.80,0,0,1.7471,0.32,0.0281,-0.76,0.03,Call,2025-04-25,81.38
88.00,,0.00,0.05,0.09,0,2,0.5421,0.03,0.0173,-0.04,0.00,Call,2025-04-25,81.38
88.50,,0.00,2.40,4.80,0,0,1.8469,0.31,0.0261,-0.79,0.03,Call,2025-04-25,81.38
89.00,,0.00,2.40,4.80,0,0,1.8954,0.30,0.0252,-0.80,0.03,Call,2025-04-25,81.38
89.50,,0.00,2.40,4.80,0,0,1.9431,0.29,0.0244,-0.81,0.03,Call,2025-04-25,81.38
90.00,,0.00,2.40,4.80,0,0,1.99,0.29,0.0237,-0.83,0.02,Call,2025-04-25,81.38
90.50,,0.00,2.40,4.80,0,0,2.0362,0.29,0.0230,-0.84,0.02,Call,2025-04-25,81.38
91.00,,0.00,2.40,4.80,0,0,2.0816999999999997,0.28,0.0223,-0.85,0.02,Call,2025-04-25,81.38
91.50,,0.00,2.40,4.80,0,0,2.1265,0.28,0.0217,-0.86,0.02,Call,2025-04-25,81.38
92.00,,0.00,2.40,4.80,0,0,2.1707,0.27,0.0211,-0.88,0.02,Call,2025-04-25,81.38
92.50,,0.00,2.40,4.80,0,3,2.2142,0.27,0.0205,-0.89,0.02,Call,2025-04-25,81.38
93.00,,0.00,2.40,4.80,0,0,2.2571,0.27,0.0200,-0.90,0.02,Call,2025-04-25,81.38
94.00,,0.00,2.40,4.80,0,0,2.3413,0.26,0.0190,-0.92,0.02,Call,2025-04-25,81.38
95.00,,0.00,2.40,4.80,0,0,2.4233000000000002,0.25,0.0182,-0.94,0.02,Call,2025-04-25,81.38
96.00,,0.00,2.40,4.80,0,0,2.5033000000000003,0.25,0.0174,-0.96,0.02,Call,2025-04-25,81.38
