Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-03-31,0,w,2224,2238,1.01,44912,36166,0.81,0.09939999999999999,92.00,-1.46,-0.015600000000000001
2025-04-04,4,w,3299,2174,0.66,9654,23859,2.47,0.2735,93.50,0.04,0.0004
2025-04-11,11,w,899,2535,2.82,3009,4238,1.41,0.239,92.00,-1.46,-0.015600000000000001
2025-04-17,17,w,1981,3526,1.78,71732,171112,2.39,0.2278,91.00,-2.46,-0.0263
2025-04-25,25,w,647,188,0.29,2739,1195,0.44,0.22089999999999999,90.00,-3.46,-0.037000000000000005
2025-05-02,32,w,452,852,1.88,2124,840,0.4,0.21760000000000002,91.50,-1.96,-0.021
2025-05-09,39,w,68,33,0.49,73,38,0.52,0.21600000000000003,92.00,-1.46,-0.015600000000000001
2025-05-16,46,m,8206,28772,3.51,58910,111217,1.89,0.2162,92.00,-1.46,-0.015600000000000001
2025-06-20,81,m,3447,8125,2.36,208162,372894,1.79,0.2211,90.00,-3.46,-0.037000000000000005
2025-06-30,91,w,697,107,0.15,59198,18084,0.31,0.2245,90.00,-3.46,-0.037000000000000005
2025-07-18,109,m,278,255,0.92,28579,28902,1.01,0.2198,90.00,-3.46,-0.037000000000000005
2025-08-15,137,m,275,119,0.43,10524,15765,1.5,0.2167,90.00,-3.46,-0.037000000000000005
2025-09-19,172,m,1399,1063,0.76,51771,127863,2.47,0.22399999999999998,90.00,-3.46,-0.037000000000000005
2025-09-30,183,w,76,23,0.3,1531,976,0.64,0.2256,86.00,-7.46,-0.07980000000000001
2025-12-19,263,m,45,103,2.29,26055,76218,2.93,0.23,89.00,-4.46,-0.04769999999999999
2025-12-31,275,w,4,2,0.5,544,425,0.78,0.22920000000000001,88.00,-5.46,-0.0584
2026-01-16,291,m,175,1124,6.42,47959,131267,2.74,0.2279,90.00,-3.46,-0.037000000000000005
2026-06-18,444,w,3,0,0.0,8977,70963,7.9,0.22920000000000001,91.00,-2.46,-0.0263
2026-09-18,536,m,0,2,∞,162,2398,14.8,0.2297,92.00,-1.46,-0.015600000000000001
2026-12-18,627,m,17,1165,68.53,11421,61681,5.4,0.2281,91.00,-2.46,-0.0263
2027-01-15,655,m,63,6,0.1,12921,102991,7.97,0.2279,90.00,-3.46,-0.037000000000000005
2027-12-17,991,m,6,51,8.5,180,1141,6.34,0.2177,100.00,6.54,0.07
