Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
50.00,,27.30,29.78,32.25,0,0,5.4353,0.84,0.0057,-1.30,0.02,Call,2025-04-11,78.25
55.00,,22.30,24.70,27.10,0,0,4.5575,0.81,0.0075,-1.21,0.02,Call,2025-04-11,78.25
60.00,,17.35,19.83,22.30,0,0,3.8281,0.78,0.0100,-1.13,0.02,Call,2025-04-11,78.25
65.00,,12.45,14.85,17.25,0,0,3.0837,0.73,0.0137,-1.01,0.03,Call,2025-04-11,78.25
70.00,10.2,7.75,9.93,12.10,5,0,2.3625,0.66,0.0198,-0.86,0.03,Call,2025-04-11,78.25
75.00,,3.50,5.68,7.85,0,0,1.81,0.54,0.0279,-0.71,0.03,Call,2025-04-11,78.25
79.00,2.74,1.00,3.10,5.20,82,3,1.5031999999999999,0.40,0.0328,-0.57,0.03,Call,2025-04-11,78.25
80.00,2.31,0.31,2.55,4.80,140,69,1.4296,0.36,0.0334,-0.53,0.03,Call,2025-04-11,78.25
81.00,1.9,0.61,2.06,3.50,35,0,1.3563,0.32,0.0336,-0.48,0.03,Call,2025-04-11,78.25
82.00,1.33,0.01,1.81,3.60,493,0,1.3588,0.29,0.0321,-0.46,0.03,Call,2025-04-11,78.25
83.00,1.16,0.00,1.68,3.35,604,0,1.3977000000000002,0.27,0.0300,-0.45,0.03,Call,2025-04-11,78.25
83.50,1.04,0.00,1.10,2.20,8,1,1.2048,0.22,0.0310,-0.35,0.02,Call,2025-04-11,78.25
84.00,0.93,0.77,1.26,1.75,31,0,1.3128,0.23,0.0291,-0.39,0.02,Call,2025-04-11,78.25
84.50,0.8,0.00,1.19,2.38,8,1,1.3218,0.21,0.0281,-0.38,0.02,Call,2025-04-11,78.25
85.00,0.77,0.00,0.40,0.79,1066,4,0.9483,0.11,0.0259,-0.18,0.02,Call,2025-04-11,78.25
85.50,0.87,0.00,1.38,2.75,2,12,1.4785,0.22,0.0256,-0.43,0.02,Call,2025-04-11,78.25
86.00,0.61,0.00,1.00,2.00,472,39,1.3463999999999998,0.18,0.0252,-0.35,0.02,Call,2025-04-11,78.25
86.50,0.5,0.00,1.10,2.20,2,11,1.4294,0.19,0.0242,-0.38,0.02,Call,2025-04-11,78.25
87.00,0.46,0.00,0.53,1.05,47,279,1.1577,0.12,0.0224,-0.23,0.02,Call,2025-04-11,78.25
87.50,0.54,0.00,1.25,2.50,7,696,1.5702,0.20,0.0225,-0.43,0.02,Call,2025-04-11,78.25
88.00,0.28,0.00,1.00,2.00,136,104,1.4852,0.17,0.0218,-0.37,0.02,Call,2025-04-11,78.25
88.50,0.27,0.00,1.00,2.00,37,133,1.5187,0.17,0.0211,-0.38,0.02,Call,2025-04-11,78.25
89.00,0.35,0.20,0.88,1.55,108,67,1.4863,0.15,0.0203,-0.35,0.02,Call,2025-04-11,78.25
89.50,0.24,0.00,0.50,1.00,2358,35,1.2923,0.11,0.0183,-0.24,0.01,Call,2025-04-11,78.25
90.00,0.2,0.15,0.20,0.24,111,723,1.0625,0.06,0.0137,-0.12,0.01,Call,2025-04-11,78.25
90.50,0.15,0.00,1.00,2.00,31,203,1.6486,0.16,0.0187,-0.39,0.02,Call,2025-04-11,78.25
91.00,0.15,0.00,1.14,2.27,33,119,1.7501,0.17,0.0183,-0.43,0.02,Call,2025-04-11,78.25
91.50,0.18,0.02,0.34,0.65,12,54,1.2764,0.08,0.0146,-0.18,0.01,Call,2025-04-11,78.25
92.00,0.18,0.10,1.17,2.24,25,770,1.8312,0.17,0.0174,-0.45,0.02,Call,2025-04-11,78.25
92.50,0.15,0.09,0.12,0.15,39,162,1.0834000000000001,0.04,0.0095,-0.09,0.01,Call,2025-04-11,78.25
93.00,0.1,0.00,0.70,1.39,52,363,1.6225999999999998,0.12,0.0156,-0.32,0.02,Call,2025-04-11,78.25
93.50,0.08,0.05,0.72,1.38,25,244,1.6636000000000002,0.12,0.0153,-0.33,0.02,Call,2025-04-11,78.25
94.00,0.09,0.03,1.12,2.20,14,251,1.9249,0.15,0.0157,-0.45,0.02,Call,2025-04-11,78.25
94.50,0.09,0.05,0.71,1.36,16,263,1.7128999999999999,0.12,0.0145,-0.33,0.02,Call,2025-04-11,78.25
95.00,0.08,0.04,0.77,1.50,22,429,1.7823,0.12,0.0143,-0.35,0.02,Call,2025-04-11,78.25
95.50,0.1,0.00,1.09,2.17,9,178,1.9965000000000002,0.15,0.0147,-0.45,0.02,Call,2025-04-11,78.25
96.00,0.08,0.02,1.10,2.17,15,283,2.0307,0.15,0.0144,-0.46,0.02,Call,2025-04-11,78.25
96.50,,0.00,1.08,2.16,0,64,2.0507,0.14,0.0141,-0.46,0.02,Call,2025-04-11,78.25
97.00,0.07,0.00,1.08,2.16,1,143,2.0787999999999998,0.14,0.0138,-0.46,0.02,Call,2025-04-11,78.25
98.00,0.07,0.00,0.11,0.21,1,102,1.2916999999999998,0.03,0.0064,-0.08,0.01,Call,2025-04-11,78.25
99.00,,0.00,1.08,2.15,0,143,2.1856,0.14,0.0127,-0.47,0.02,Call,2025-04-11,78.25
100.00,0.03,0.00,1.07,2.14,8,169,2.2361,0.13,0.0123,-0.47,0.02,Call,2025-04-11,78.25
101.00,0.02,0.00,0.95,1.90,15,10,2.2149,0.12,0.0116,-0.44,0.02,Call,2025-04-11,78.25
102.00,0.04,0.00,1.07,2.14,2,6,2.34,0.13,0.0114,-0.48,0.02,Call,2025-04-11,78.25
103.00,,0.00,0.65,1.30,0,5,2.1049,0.09,0.0100,-0.34,0.01,Call,2025-04-11,78.25
104.00,,0.00,0.65,1.30,0,15,2.1513999999999998,0.09,0.0097,-0.35,0.01,Call,2025-04-11,78.25
105.00,,0.00,1.05,2.09,0,11,2.4737,0.12,0.0104,-0.49,0.02,Call,2025-04-11,78.25
106.00,,0.00,1.07,2.13,0,0,2.5345,0.12,0.0101,-0.50,0.02,Call,2025-04-11,78.25
107.00,,0.00,0.65,1.30,0,0,2.2866,0.09,0.0088,-0.35,0.01,Call,2025-04-11,78.25
110.00,,0.00,1.07,2.13,0,0,2.7201999999999997,0.11,0.0091,-0.52,0.02,Call,2025-04-11,78.25
115.00,,0.00,1.07,2.13,0,0,2.9379000000000004,0.11,0.0081,-0.54,0.01,Call,2025-04-11,78.25
50.00,,0.00,1.07,2.13,0,0,3.1601,-0.08,0.0061,-0.47,0.01,Put,2025-04-11,78.25
55.00,0.05,0.00,1.07,2.13,3,2,2.5757999999999996,-0.10,0.0086,-0.44,0.01,Put,2025-04-11,78.25
60.00,0.07,0.05,1.03,2.00,1365,0,2.0013,-0.12,0.0128,-0.39,0.02,Put,2025-04-11,78.25
65.00,0.18,0.00,1.07,2.13,278,0,1.4968000000000001,-0.16,0.0207,-0.36,0.02,Put,2025-04-11,78.25
70.00,0.53,0.07,0.33,0.60,245,24,0.6156,-0.13,0.0446,-0.13,0.02,Put,2025-04-11,78.25
75.00,1.31,0.03,1.59,3.15,3299,134,0.5127,-0.49,0.0990,-0.20,0.03,Put,2025-04-11,78.25
79.00,2.61,0.11,1.81,3.50,319,2231,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
80.00,3.1,2.80,3.98,5.15,1272,90,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
81.00,3.5,1.30,3.48,5.65,1354,1260,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
82.00,4.45,2.50,3.50,4.50,183,189,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
83.00,5.03,2.48,4.69,6.90,68,23,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
83.50,5.36,3.25,5.25,7.25,108,2,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
84.00,5.08,3.25,5.43,7.60,9,109,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
84.50,4.75,3.65,5.83,8.00,8,713,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
85.00,6.54,4.05,6.20,8.35,160,278,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
85.50,4.55,4.50,6.68,8.85,4,71,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
86.00,6.61,4.90,7.08,9.25,36,78,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
86.50,7.75,5.60,7.65,9.70,5,14,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
87.00,7.77,5.80,7.98,10.15,16,379,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
87.50,8.05,6.25,8.43,10.60,51,879,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
88.00,9.2,6.75,8.85,10.95,24,102,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
88.50,8.9,7.20,9.30,11.40,10,143,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
89.00,9.77,7.65,9.75,11.85,34,1245,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
89.50,,8.15,10.30,12.45,0,349,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
90.00,10.52,8.95,10.88,12.80,81,808,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
90.50,10.36,8.55,10.98,13.40,4,199,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
91.00,11.0,9.60,11.73,13.85,90,1724,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
91.50,10.84,10.40,12.33,14.25,8,155,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
92.00,11.85,10.85,12.80,14.75,6,215,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
92.50,11.88,11.05,13.20,15.35,8,457,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
93.00,12.77,11.55,13.65,15.75,90,352,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
93.50,14.3,12.35,14.27,16.20,6,256,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
94.00,14.34,12.00,14.40,16.80,6,68,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
94.50,,13.35,15.33,17.30,0,46,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
95.00,15.45,13.45,15.63,17.80,2,536,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
95.50,,14.35,16.33,18.30,0,13,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
96.00,,13.85,16.33,18.80,0,13,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
96.50,16.4,14.40,16.85,19.30,3,7,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
97.00,16.5,14.85,17.33,19.80,1,8,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
98.00,,16.05,18.40,20.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
99.00,,16.90,19.33,21.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
100.00,,18.05,20.40,22.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
101.00,,19.05,21.40,23.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
102.00,,20.10,22.43,24.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
103.00,,21.25,23.50,25.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
104.00,,22.25,24.55,26.85,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
105.00,,22.90,25.33,27.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
106.00,,24.25,26.55,28.85,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
107.00,,24.90,27.33,29.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
110.00,,27.80,30.28,32.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
115.00,,32.80,35.28,37.75,0,0,0.0,-1.00,0.0000,0.01,0.00,Put,2025-04-11,78.25
45.00,,32.45,34.35,36.25,0,0,3.8688,0.87,0.0044,-0.52,0.03,Call,2025-04-17,78.25
50.00,,27.45,29.38,31.30,0,0,3.3086,0.84,0.0058,-0.49,0.03,Call,2025-04-17,78.25
55.00,,22.50,24.43,26.35,0,0,2.803,0.82,0.0076,-0.47,0.03,Call,2025-04-17,78.25
60.00,,17.60,19.53,21.45,0,0,2.3423,0.78,0.0102,-0.44,0.04,Call,2025-04-17,78.25
65.00,,12.80,14.83,16.85,0,0,1.9457,0.73,0.0137,-0.41,0.04,Call,2025-04-17,78.25
70.00,10.75,8.15,10.18,12.20,12,1,1.5496,0.66,0.0191,-0.36,0.05,Call,2025-04-17,78.25
75.00,5.98,4.75,6.50,8.25,64,0,1.3125,0.54,0.0243,-0.33,0.05,Call,2025-04-17,78.25
76.00,6.55,3.20,5.40,7.60,15,0,1.1801000000000001,0.51,0.0272,-0.30,0.05,Call,2025-04-17,78.25
77.00,4.67,2.65,4.73,6.80,1,0,1.1289,0.48,0.0284,-0.28,0.05,Call,2025-04-17,78.25
78.00,4.75,1.82,4.04,6.25,158,1,1.0687,0.45,0.0298,-0.27,0.05,Call,2025-04-17,78.25
79.00,3.45,2.01,3.61,5.20,134,1,1.0553,0.42,0.0298,-0.26,0.05,Call,2025-04-17,78.25
80.00,2.9,1.49,3.05,4.60,361,101,1.0085,0.38,0.0305,-0.24,0.05,Call,2025-04-17,78.25
81.00,2.17,0.80,2.35,3.90,1800,4,0.9235,0.34,0.0318,-0.21,0.05,Call,2025-04-17,78.25
82.00,1.92,0.00,2.15,4.30,1448,22,0.9392,0.31,0.0303,-0.21,0.04,Call,2025-04-17,78.25
83.00,1.64,1.26,1.98,2.70,2203,16,0.9571,0.29,0.0287,-0.21,0.04,Call,2025-04-17,78.25
84.00,1.35,0.00,1.70,3.40,3036,182,0.9436,0.26,0.0277,-0.19,0.04,Call,2025-04-17,78.25
85.00,0.89,0.85,1.18,1.50,2254,749,0.8558,0.21,0.0271,-0.15,0.04,Call,2025-04-17,78.25
86.00,0.62,0.00,1.00,2.00,1359,400,0.8514,0.18,0.0252,-0.14,0.03,Call,2025-04-17,78.25
87.00,0.62,0.26,1.32,2.37,783,6499,0.9890000000000001,0.21,0.0232,-0.18,0.04,Call,2025-04-17,78.25
87.50,0.43,0.00,1.00,2.00,101,16,0.9177,0.17,0.0226,-0.15,0.03,Call,2025-04-17,78.25
88.00,0.45,0.00,0.38,0.76,28,2391,0.7079000000000001,0.10,0.0195,-0.08,0.02,Call,2025-04-17,78.25
88.50,0.62,0.00,1.29,2.58,3,39,1.0491,0.19,0.0211,-0.18,0.03,Call,2025-04-17,78.25
89.00,0.4,0.00,1.01,2.01,59,2480,0.9829000000000001,0.17,0.0205,-0.15,0.03,Call,2025-04-17,78.25
89.50,0.49,0.00,0.50,1.00,13,19,0.8172,0.11,0.0183,-0.10,0.02,Call,2025-04-17,78.25
90.00,0.25,0.22,1.09,1.95,3182,12154,1.0501,0.17,0.0193,-0.17,0.03,Call,2025-04-17,78.25
90.50,0.27,0.00,1.19,2.37,16,59,1.1023,0.17,0.0188,-0.18,0.03,Call,2025-04-17,78.25
91.00,0.18,0.13,0.44,0.75,155,1716,0.8438,0.09,0.0161,-0.09,0.02,Call,2025-04-17,78.25
91.50,0.3,0.00,1.17,2.34,17,78,1.1381999999999999,0.17,0.0178,-0.18,0.03,Call,2025-04-17,78.25
92.00,0.15,0.05,0.71,1.37,137,5431,0.9958,0.12,0.0166,-0.13,0.03,Call,2025-04-17,78.25
92.50,0.15,0.00,1.15,2.30,25,197,1.1714,0.16,0.0169,-0.18,0.03,Call,2025-04-17,78.25
93.00,0.13,0.11,0.43,0.75,156,5851,0.9073,0.09,0.0142,-0.09,0.02,Call,2025-04-17,78.25
93.50,0.19,0.00,0.70,1.40,9,346,1.046,0.12,0.0152,-0.13,0.02,Call,2025-04-17,78.25
