Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-04,0,w,17446,32783,1.88,44984,56204,1.25,0.39649999999999996,49.50,5.31,0.1202
2025-04-11,7,w,11950,29289,2.45,15905,37352,2.35,0.5811999999999999,49.50,5.31,0.1202
2025-04-17,13,w,48306,331795,6.87,287289,436088,1.52,0.4878,49.50,5.31,0.1202
2025-04-25,21,w,1554,45760,29.45,2977,47491,15.95,0.4374,49.00,4.81,0.10880000000000001
2025-05-02,28,w,662,1225,1.85,1782,2300,1.29,0.4094,49.50,5.31,0.1202
2025-05-09,35,w,252,278,1.1,476,621,1.3,0.3912,49.00,4.81,0.10880000000000001
2025-05-16,42,m,28231,60410,2.14,51104,200892,3.93,0.37450000000000006,50.00,5.81,0.1315
2025-05-23,49,w,34,59,1.74,0,42,∞,0.3221,51.50,7.31,0.1654
2025-06-20,77,m,33202,46417,1.4,564524,760478,1.35,0.3326,48.00,3.81,0.0862
2025-06-30,87,w,274,660,2.41,6937,9087,1.31,0.3218,50.00,5.81,0.1315
2025-07-18,105,m,1862,1237,0.66,67054,50575,0.75,0.312,50.00,5.81,0.1315
2025-09-19,168,m,6428,18697,2.91,126257,221944,1.76,0.2943,49.00,4.81,0.10880000000000001
2025-09-30,179,w,190,529,2.78,3025,1973,0.65,0.2854,46.00,1.81,0.040999999999999995
2025-10-17,196,m,4609,1421,0.31,41683,98997,2.37,0.2749,50.00,5.81,0.1315
2025-12-19,259,m,131240,28697,0.22,438934,513149,1.17,0.2743,52.00,7.81,0.17670000000000002
2025-12-31,271,w,5117,61,0.01,862,2820,3.27,0.2657,50.00,5.81,0.1315
2026-01-16,287,m,6987,12137,1.74,196074,541841,2.76,0.2379,50.00,5.81,0.1315
2026-03-20,350,m,1150,22,0.02,7086,15138,2.14,0.261,48.00,3.81,0.0862
2026-03-31,361,w,241,0,0.0,1533,24,0.02,0.2306,50.00,5.81,0.1315
2026-12-18,623,m,99,393,3.97,66419,89052,1.34,0.2427,43.00,-1.19,-0.0269
2027-01-15,651,m,388,118,0.3,67346,149264,2.22,0.23989999999999997,49.00,4.81,0.10880000000000001
2027-12-17,987,m,5077,5014,0.99,305,1067,3.5,0.23620000000000002,45.00,0.81,0.0183
