Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-02,0,w,375,798,2.13,5101,23610,4.63,0.8540000000000001,130.00,-4.63,-0.0344
2025-05-09,7,w,158,1728,10.94,1513,3161,2.09,0.32280000000000003,129.00,-5.63,-0.04190000000000001
2025-05-16,14,m,9054,25836,2.85,20394,61883,3.03,0.2398,128.00,-6.63,-0.0493
2025-05-23,21,w,8,110,13.75,128,88,0.69,0.19219999999999998,127.00,-7.63,-0.0567
2025-05-30,28,w,105,60,0.57,129350,147037,1.14,0.17489999999999997,126.00,-8.63,-0.0641
2025-06-06,35,w,45,8515,189.22,108,86,0.8,0.1821,133.00,-1.63,-0.0121
2025-06-13,42,w,2,2,1.0,20,0,0.0,0.172,80.00,-54.63,-0.4058
2025-06-20,49,m,534,3490,6.54,52989,245163,4.63,0.2211,134.00,-0.63,-0.004699999999999999
2025-09-19,140,m,241,1296,5.38,13698,32939,2.4,0.1942,134.00,-0.63,-0.004699999999999999
2025-12-19,231,m,0,0,0,9160,15486,1.69,0.1815,137.00,2.37,0.0176
2026-01-16,259,m,105,37,0.35,11219,10065,0.9,0.18309999999999998,135.00,0.37,0.0027
2026-03-20,322,m,0,29,∞,386,2647,6.86,0.191,127.00,-7.63,-0.0567
2026-06-18,412,w,0,0,0,767,897,1.17,0.18710000000000002,135.00,0.37,0.0027
2026-12-18,595,m,31,0,0.0,2084,1206,0.58,0.1895,130.00,-4.63,-0.0344
2027-01-15,623,m,48,0,0.0,3111,6078,1.95,0.2091,125.00,-9.63,-0.0716
