Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-02,0,w,1072,415,0.39,3184,3319,1.04,0.1534,205.00,-11.61,-0.0536
2025-05-09,7,w,1036,903,0.87,1148,1175,1.02,0.2667,205.00,-11.61,-0.0536
2025-05-16,14,m,721,454,0.63,13649,17731,1.3,0.2702,210.00,-6.61,-0.0305
2025-05-23,21,w,52,32,0.62,924,1040,1.13,0.2693,207.50,-9.11,-0.0421
2025-05-30,28,w,127,673,5.3,619,1667,2.69,0.2626,207.50,-9.11,-0.0421
2025-06-06,35,w,10,92,9.2,264,98,0.37,0.2818,212.50,-4.11,-0.019
2025-06-13,42,w,5,36,7.2,7,12,1.71,0.2775,230.00,13.39,0.061799999999999994
2025-06-20,49,m,1011,732,0.72,52972,81540,1.54,0.2692,210.00,-6.61,-0.0305
2025-09-19,140,m,382,362,0.95,27979,39195,1.4,0.2759,215.00,-1.61,-0.0074
2025-10-17,168,m,121,10,0.08,8852,10766,1.22,0.2751,205.00,-11.61,-0.0536
2025-12-19,231,m,23,14,0.61,2932,8240,2.81,0.27949999999999997,220.00,3.39,0.015700000000000002
2026-01-16,259,m,176,17,0.1,21816,27616,1.27,0.2738,225.00,8.39,0.0387
2026-03-20,322,m,9,0,0.0,2335,4065,1.74,0.276,215.00,-1.61,-0.0074
2026-06-18,412,w,43,5,0.12,8512,6847,0.8,0.2687,210.00,-6.61,-0.0305
2026-12-18,595,m,202,4,0.02,3309,19181,5.8,0.2672,235.00,18.39,0.0849
2027-01-15,623,m,25,2,0.08,4091,8152,1.99,0.2697,230.00,13.39,0.061799999999999994
2027-06-17,776,w,0,5,∞,496,1042,2.1,0.2707,185.00,-31.61,-0.1459
2027-12-17,959,m,3,11,3.67,575,2560,4.45,0.2681,215.00,-1.61,-0.0074
