Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
125.00,,88.35,90.40,92.45,0,0,2.7617000000000003,0.98,0.0008,-0.42,0.01,Call,2025-05-09,215.46
130.00,,84.00,85.75,87.50,0,0,2.8285,0.97,0.0011,-0.59,0.02,Call,2025-05-09,215.46
135.00,,78.70,80.60,82.50,0,0,2.5531,0.97,0.0012,-0.51,0.02,Call,2025-05-09,215.46
140.00,,73.40,75.50,77.60,0,0,2.3165999999999998,0.97,0.0013,-0.45,0.02,Call,2025-05-09,215.46
145.00,,69.00,70.80,72.60,0,0,2.3205,0.96,0.0017,-0.59,0.02,Call,2025-05-09,215.46
150.00,,64.00,65.80,67.60,0,0,2.1517,0.96,0.0019,-0.58,0.02,Call,2025-05-09,215.46
155.00,,58.80,60.80,62.80,0,0,1.9872999999999998,0.95,0.0022,-0.56,0.02,Call,2025-05-09,215.46
160.00,,54.00,55.83,57.65,0,0,1.8374000000000001,0.95,0.0026,-0.56,0.02,Call,2025-05-09,215.46
165.00,,48.80,50.80,52.80,0,0,1.6699000000000002,0.95,0.0030,-0.54,0.03,Call,2025-05-09,215.46
170.00,,44.00,45.80,47.60,0,1,1.516,0.94,0.0035,-0.52,0.03,Call,2025-05-09,215.46
174.00,,40.00,41.90,43.80,0,0,1.4291,0.93,0.0041,-0.55,0.03,Call,2025-05-09,215.46
175.00,,39.00,40.90,42.80,0,1,1.3984999999999999,0.93,0.0043,-0.55,0.03,Call,2025-05-09,215.46
176.00,,38.00,39.90,41.80,0,0,1.368,0.93,0.0044,-0.54,0.03,Call,2025-05-09,215.46
177.00,,37.00,38.83,40.65,0,0,1.3130000000000002,0.93,0.0045,-0.51,0.03,Call,2025-05-09,215.46
178.00,,36.00,37.90,39.80,0,0,1.3072,0.93,0.0048,-0.53,0.03,Call,2025-05-09,215.46
179.00,,34.60,36.60,38.60,0,0,1.1757,0.94,0.0046,-0.42,0.03,Call,2025-05-09,215.46
180.00,,34.05,35.85,37.65,0,4,1.2309999999999999,0.92,0.0051,-0.51,0.03,Call,2025-05-09,215.46
181.00,,33.05,34.85,36.65,0,4,1.2011,0.92,0.0053,-0.50,0.03,Call,2025-05-09,215.46
182.00,,32.05,33.90,35.75,0,2,1.1863,0.92,0.0056,-0.52,0.03,Call,2025-05-09,215.46
183.00,,30.80,32.68,34.55,0,21,1.0867,0.93,0.0056,-0.43,0.03,Call,2025-05-09,215.46
184.00,,29.75,31.78,33.80,0,21,1.0891,0.92,0.0060,-0.47,0.03,Call,2025-05-09,215.46
185.00,,29.05,30.80,32.55,0,6,1.0672,0.92,0.0063,-0.47,0.03,Call,2025-05-09,215.46
186.00,,28.05,29.78,31.50,0,7,1.0304,0.92,0.0065,-0.46,0.03,Call,2025-05-09,215.46
187.00,,27.05,28.85,30.65,0,3,1.0222,0.91,0.0070,-0.48,0.04,Call,2025-05-09,215.46
188.00,,25.75,27.70,29.65,0,3,0.9501000000000001,0.92,0.0071,-0.42,0.03,Call,2025-05-09,215.46
189.00,,25.05,26.85,28.65,0,4,0.9628,0.91,0.0077,-0.47,0.04,Call,2025-05-09,215.46
190.00,,24.35,26.00,27.65,0,7,0.9712000000000001,0.90,0.0082,-0.51,0.04,Call,2025-05-09,215.46
191.00,,23.05,24.85,26.65,0,3,0.9033,0.90,0.0085,-0.46,0.04,Call,2025-05-09,215.46
192.00,,22.05,23.85,25.65,0,3,0.8734999999999999,0.90,0.0090,-0.45,0.04,Call,2025-05-09,215.46
193.00,,21.05,23.00,24.95,0,8,0.8795999999999999,0.89,0.0097,-0.49,0.04,Call,2025-05-09,215.46
194.00,,20.05,21.85,23.65,0,5,0.8138,0.89,0.0101,-0.44,0.04,Call,2025-05-09,215.46
195.00,,19.40,21.03,22.65,0,149,0.8238,0.88,0.0109,-0.49,0.05,Call,2025-05-09,215.46
196.00,,18.50,20.08,21.65,0,19,0.8036,0.87,0.0116,-0.49,0.05,Call,2025-05-09,215.46
197.00,,17.35,18.90,20.45,0,5,0.7349,0.88,0.0122,-0.44,0.05,Call,2025-05-09,215.46
197.50,,16.95,18.58,20.20,0,13,0.7565999999999999,0.87,0.0127,-0.48,0.05,Call,2025-05-09,215.46
198.00,,16.45,18.08,19.70,0,14,0.7409,0.86,0.0132,-0.48,0.05,Call,2025-05-09,215.46
199.00,17.12,15.55,16.98,18.40,2,25,0.6893,0.86,0.0140,-0.44,0.05,Call,2025-05-09,215.46
200.00,16.17,14.90,16.30,17.70,1,42,0.7198,0.84,0.0151,-0.51,0.05,Call,2025-05-09,215.46
202.50,,11.75,13.38,15.00,0,19,0.5603,0.85,0.0184,-0.38,0.05,Call,2025-05-09,215.46
205.00,10.98,9.70,11.30,12.90,4,55,0.5521,0.80,0.0225,-0.45,0.06,Call,2025-05-09,215.46
207.50,8.98,7.75,9.23,10.70,1,45,0.525,0.75,0.0271,-0.49,0.07,Call,2025-05-09,215.46
210.00,6.64,5.80,6.78,7.75,6,110,0.43439999999999995,0.70,0.0355,-0.44,0.08,Call,2025-05-09,215.46
