Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-04,3,w,185,2594,14.02,1481,9828,6.64,0.23829999999999998,81.00,-0.8,-0.0097
2025-04-11,10,w,253,390,1.54,859,7951,9.26,0.1782,80.50,-1.3,-0.0158
2025-04-17,16,w,631,1555,2.46,34361,61851,1.8,0.16269999999999998,81.00,-0.8,-0.0097
2025-04-25,24,w,31,31,1.0,383,293,0.77,0.153,80.00,-1.8,-0.0219
2025-05-02,31,w,119,48,0.4,399,171,0.43,0.1553,79.00,-2.8,-0.0342
2025-05-09,38,w,2,3,1.5,91,57,0.63,0.153,81.50,-0.3,-0.0036
2025-05-16,45,m,862,2420,2.81,1148,1035,0.9,0.1506,80.00,-1.8,-0.0219
2025-06-20,80,m,1559,216,0.14,60971,69939,1.15,0.15,80.00,-1.8,-0.0219
2025-09-19,171,m,47,39,0.83,10566,9846,0.93,0.1494,80.00,-1.8,-0.0219
2025-10-17,199,m,62,255,4.11,4967,23773,4.79,0.1542,79.00,-2.8,-0.0342
2026-01-16,290,m,218,710,3.26,9537,14131,1.48,0.1492,80.00,-1.8,-0.0219
2027-01-15,654,m,2,0,0.0,1672,3109,1.86,0.1493,82.00,0.2,0.0025
