Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
50.00,,29.20,31.17,33.15,0,0,2.8232,0.98,0.0025,-0.19,0.00,Call,2025-05-02,81.24
55.00,,24.25,26.15,28.05,0,0,2.2715,0.98,0.0034,-0.16,0.00,Call,2025-05-02,81.24
60.00,,19.25,21.08,22.90,0,0,1.6374000000000002,0.98,0.0037,-0.10,0.00,Call,2025-05-02,81.24
65.00,,14.25,16.00,17.75,0,0,0.8956999999999999,1.00,0.0014,-0.02,0.00,Call,2025-05-02,81.24
69.00,,11.45,12.58,13.70,0,0,1.4890999999999999,0.90,0.0166,-0.34,0.01,Call,2025-05-02,81.24
70.00,,8.80,11.00,13.20,0,0,0.5969,1.00,0.0022,-0.01,0.00,Call,2025-05-02,81.24
71.00,,8.25,10.15,12.05,0,0,0.92,0.95,0.0159,-0.13,0.01,Call,2025-05-02,81.24
72.00,,7.00,9.18,11.35,0,0,0.8695999999999999,0.94,0.0193,-0.14,0.01,Call,2025-05-02,81.24
73.00,,6.00,8.18,10.35,0,0,0.7885,0.93,0.0227,-0.13,0.01,Call,2025-05-02,81.24
74.00,,5.00,7.13,9.25,0,2,0.6548999999999999,0.94,0.0249,-0.10,0.01,Call,2025-05-02,81.24
74.50,6.7,5.10,6.68,8.25,2,2,0.6663,0.92,0.0300,-0.13,0.01,Call,2025-05-02,81.24
75.00,,5.25,6.50,7.75,0,0,0.8508,0.85,0.0373,-0.25,0.02,Call,2025-05-02,81.24
75.50,,4.70,5.93,7.15,0,0,0.7576,0.85,0.0410,-0.22,0.02,Call,2025-05-02,81.24
76.00,,3.00,5.00,7.00,0,47,0.2652,1.00,0.0059,-0.01,0.00,Call,2025-05-02,81.24
76.50,,2.55,4.48,6.40,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-05-02,81.24
77.00,,3.35,4.28,5.20,0,15,0.5252,0.86,0.0573,-0.15,0.02,Call,2025-05-02,81.24
77.50,,2.57,4.26,5.95,0,50,0.7172,0.76,0.0588,-0.28,0.02,Call,2025-05-02,81.24
78.00,,1.76,3.38,5.00,0,12,0.4866,0.81,0.0760,-0.17,0.02,Call,2025-05-02,81.24
78.50,2.76,2.19,3.17,4.15,4,28,0.5634,0.74,0.0786,-0.23,0.02,Call,2025-05-02,81.24
79.00,1.48,1.71,2.30,2.89,2,161,0.34509999999999996,0.79,0.1130,-0.13,0.02,Call,2025-05-02,81.24
79.50,,1.21,2.73,4.25,0,94,0.6504000000000001,0.64,0.0787,-0.30,0.03,Call,2025-05-02,81.24
80.00,1.19,0.85,1.40,1.94,13,93,0.2742,0.70,0.1739,-0.12,0.03,Call,2025-05-02,81.24
80.50,1.03,0.50,0.95,1.39,11,39,0.2281,0.62,0.2271,-0.11,0.03,Call,2025-05-02,81.24
81.00,0.8,0.06,0.42,0.77,544,154,0.1418,0.50,0.3832,-0.07,0.03,Call,2025-05-02,81.24
81.50,0.35,0.02,0.36,0.69,43,151,0.1943,0.37,0.2639,-0.09,0.03,Call,2025-05-02,81.24
82.00,0.18,0.02,0.14,0.25,36,188,0.162,0.20,0.2379,-0.06,0.02,Call,2025-05-02,81.24
82.50,0.09,0.07,0.11,0.15,134,502,0.19399999999999998,0.15,0.1639,-0.06,0.02,Call,2025-05-02,81.24
83.00,0.04,0.00,0.13,0.25,22,133,0.24480000000000002,0.14,0.1228,-0.07,0.02,Call,2025-05-02,81.24
83.50,,0.00,0.04,0.08,0,44,0.214,0.06,0.0755,-0.03,0.01,Call,2025-05-02,81.24
84.00,0.03,0.00,0.02,0.04,1,75,0.2162,0.03,0.0457,-0.02,0.01,Call,2025-05-02,81.24
84.50,,0.00,0.04,0.07,0,14,0.2707,0.04,0.0464,-0.03,0.01,Call,2025-05-02,81.24
85.00,,0.00,0.04,0.08,0,16,0.3084,0.04,0.0408,-0.04,0.01,Call,2025-05-02,81.24
85.50,,0.00,0.12,0.23,0,4,0.4235,0.08,0.0489,-0.08,0.01,Call,2025-05-02,81.24
86.00,,0.00,0.01,0.02,0,8,0.2961,0.01,0.0157,-0.01,0.00,Call,2025-05-02,81.24
87.00,,0.00,0.01,0.02,0,1,0.3448,0.01,0.0120,-0.01,0.00,Call,2025-05-02,81.24
88.00,,0.00,0.01,0.02,0,0,0.3921,0.01,0.0095,-0.01,0.00,Call,2025-05-02,81.24
89.00,,0.00,0.01,0.02,0,1,0.4382,0.01,0.0078,-0.01,0.00,Call,2025-05-02,81.24
90.00,,0.00,0.01,0.02,0,0,0.48310000000000003,0.01,0.0066,-0.01,0.00,Call,2025-05-02,81.24
91.00,,0.00,0.01,0.02,0,0,0.5272,0.01,0.0056,-0.01,0.00,Call,2025-05-02,81.24
92.00,,0.00,0.01,0.02,0,0,0.5702,0.01,0.0049,-0.01,0.00,Call,2025-05-02,81.24
93.00,,0.00,2.40,4.80,0,0,2.1606,0.27,0.0209,-0.88,0.02,Call,2025-05-02,81.24
95.00,,0.00,2.40,4.80,0,0,2.3291,0.26,0.0189,-0.92,0.02,Call,2025-05-02,81.24
100.00,,0.00,2.40,4.80,0,0,2.716,0.23,0.0153,-1.02,0.02,Call,2025-05-02,81.24
50.00,,0.00,2.40,4.80,0,0,5.239199999999999,-0.11,0.0047,-1.17,0.01,Put,2025-05-02,81.24
55.00,,0.00,2.40,4.80,0,0,4.4563999999999995,-0.12,0.0062,-1.11,0.01,Put,2025-05-02,81.24
60.00,,0.00,0.01,0.01,0,0,1.1679000000000002,0.00,0.0007,-0.01,0.00,Put,2025-05-02,81.24
65.00,,0.00,2.40,4.80,0,2,3.042,-0.17,0.0115,-0.96,0.02,Put,2025-05-02,81.24
69.00,,0.00,0.01,0.02,0,0,0.7106999999999999,-0.01,0.0032,-0.01,0.00,Put,2025-05-02,81.24
70.00,,0.00,0.01,0.02,0,18,0.6535,-0.01,0.0037,-0.01,0.00,Put,2025-05-02,81.24
71.00,,0.00,0.01,0.02,0,2,0.5966,-0.01,0.0044,-0.01,0.00,Put,2025-05-02,81.24
72.00,,0.00,0.01,0.02,0,35,0.54,-0.01,0.0053,-0.01,0.00,Put,2025-05-02,81.24
73.00,,0.00,0.01,0.02,0,11,0.48369999999999996,-0.01,0.0064,-0.01,0.00,Put,2025-05-02,81.24
74.00,0.02,0.00,0.01,0.02,8,255,0.4275,-0.01,0.0080,-0.01,0.00,Put,2025-05-02,81.24
74.50,0.02,0.00,0.01,0.02,4,8,0.3994,-0.01,0.0091,-0.01,0.00,Put,2025-05-02,81.24
75.00,0.02,0.00,0.02,0.03,4,146,0.3923,-0.01,0.0128,-0.02,0.00,Put,2025-05-02,81.24
75.50,0.02,0.00,0.02,0.04,9,84,0.3786,-0.02,0.0170,-0.02,0.00,Put,2025-05-02,81.24
76.00,0.03,0.00,0.03,0.06,5,2812,0.3718,-0.03,0.0237,-0.03,0.00,Put,2025-05-02,81.24
76.50,0.03,0.00,0.12,0.23,52,217,0.44770000000000004,-0.08,0.0438,-0.08,0.01,Put,2025-05-02,81.24
77.00,0.04,0.02,0.06,0.09,6,31,0.3452,-0.05,0.0414,-0.04,0.01,Put,2025-05-02,81.24
77.50,0.06,0.00,0.05,0.10,3,68,0.3035,-0.05,0.0483,-0.04,0.01,Put,2025-05-02,81.24
