Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-05-02,4,w,1048,893,0.85,9970,17949,1.8,0.2676,78.00,-0.7,-0.009000000000000001
2025-05-09,11,w,309,58,0.19,841,834,0.99,0.2366,77.00,-1.7,-0.0217
2025-05-16,18,m,1755,3564,2.03,29466,25582,0.87,0.1868,76.00,-2.7,-0.0344
2025-05-23,25,w,118,11,0.09,1357,535,0.39,0.1788,78.00,-0.7,-0.009000000000000001
2025-05-30,32,w,121,33,0.27,424,5304,12.51,0.1949,77.50,-1.2,-0.015300000000000001
2025-06-06,39,w,87,13,0.15,35,10,0.29,0.1979,77.00,-1.7,-0.0217
2025-06-20,53,m,237,242,1.02,46284,111992,2.42,0.1865,76.00,-2.7,-0.0344
2025-09-19,144,m,105,1028,9.79,22996,37272,1.62,0.1784,78.00,-0.7,-0.009000000000000001
2025-10-17,172,m,2,3,1.5,8074,11830,1.47,0.18469999999999998,76.00,-2.7,-0.0344
2025-12-19,235,m,2,0,0.0,24756,46126,1.86,0.1778,74.00,-4.7,-0.059800000000000006
2026-01-16,263,m,152,172,1.13,20578,128655,6.25,0.1911,75.00,-3.7,-0.0471
2026-06-18,416,w,2,5,2.5,2376,37584,15.82,0.17850000000000002,78.00,-0.7,-0.009000000000000001
2026-12-18,599,m,3,0,0.0,9261,15867,1.71,0.16920000000000002,71.00,-7.7,-0.09789999999999999
2027-01-15,627,m,10,13,1.3,3796,41215,10.86,0.18359999999999999,79.00,0.3,0.0037
