Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
55.00,,19.70,22.17,24.65,0,0,3.6482,0.97,0.0048,-0.53,0.00,Call,2025-04-17,77.77
60.00,17.63,14.30,16.80,19.30,16,3,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
64.00,13.65,10.30,12.70,15.10,16,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
65.00,,9.40,11.90,14.40,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
66.00,,7.55,9.93,12.30,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
67.00,10.66,7.45,9.85,12.25,16,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
68.00,9.45,6.40,8.88,11.35,19,51,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
69.00,,5.35,7.85,10.35,0,8,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
70.00,7.3,4.00,6.50,9.00,137,138,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
71.00,,3.35,5.85,8.35,0,12,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
72.00,,2.45,4.95,7.45,0,24,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-17,77.77
73.00,,1.55,4.03,6.50,0,26,0.5972,0.96,0.0381,-0.12,0.00,Call,2025-04-17,77.77
73.50,4.3,3.00,4.63,6.25,1,238,1.5978,0.72,0.0519,-1.08,0.01,Call,2025-04-17,77.77
74.00,3.35,0.75,3.25,5.75,11,55,0.775,0.84,0.0779,-0.39,0.01,Call,2025-04-17,77.77
74.50,,0.10,2.60,5.10,0,11,0.5241,0.89,0.0910,-0.21,0.01,Call,2025-04-17,77.77
75.00,1.92,0.25,2.75,5.25,18,614,0.9852,0.70,0.0872,-0.69,0.01,Call,2025-04-17,77.77
75.50,2.2,0.00,2.40,4.80,4,83,0.972,0.66,0.0937,-0.72,0.01,Call,2025-04-17,77.77
76.00,1.09,0.32,2.56,4.80,7,318,1.272,0.59,0.0759,-1.00,0.02,Call,2025-04-17,77.77
76.50,0.9,0.00,1.00,2.00,102,1321,0.4579,0.61,0.2083,-0.36,0.02,Call,2025-04-17,77.77
77.00,0.5,0.15,2.48,4.80,17,2199,1.5453999999999999,0.52,0.0640,-1.25,0.02,Call,2025-04-17,77.77
77.50,0.28,0.00,2.40,4.80,31,516,1.6441,0.49,0.0602,-1.32,0.02,Call,2025-04-17,77.77
78.00,0.14,0.00,0.38,0.75,145,1388,0.4824,0.31,0.1805,-0.34,0.01,Call,2025-04-17,77.77
78.50,0.11,0.00,2.40,4.80,20,936,1.9105,0.44,0.0513,-1.52,0.02,Call,2025-04-17,77.77
79.00,0.04,0.03,0.53,1.03,507,1811,0.7963,0.27,0.1039,-0.54,0.01,Call,2025-04-17,77.77
79.50,0.01,0.00,0.01,0.01,162,911,0.2752,0.01,0.0302,-0.02,0.00,Call,2025-04-17,77.77
80.00,0.02,0.01,0.03,0.06,240,2695,0.4386,0.05,0.0566,-0.09,0.00,Call,2025-04-17,77.77
80.50,,0.00,0.73,1.46,0,103,1.229,0.25,0.0647,-0.80,0.01,Call,2025-04-17,77.77
81.00,0.02,0.00,0.01,0.02,2,5309,0.4489,0.02,0.0217,-0.04,0.00,Call,2025-04-17,77.77
81.50,,0.00,0.01,0.02,0,111,0.495,0.01,0.0183,-0.04,0.00,Call,2025-04-17,77.77
82.00,0.02,0.00,0.01,0.02,1,922,0.5403,0.01,0.0156,-0.04,0.00,Call,2025-04-17,77.77
