Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-17,3,w,415,3395,8.18,20035,24091,1.2,0.44270000000000004,146.00,7.54,0.0545
2025-04-25,11,w,51,69,1.35,2169,1175,0.54,0.3488,144.00,5.54,0.04
2025-05-02,18,w,35,22,0.63,714,591,0.83,0.2961,144.00,5.54,0.04
2025-05-09,25,w,25,176,7.04,69,507,7.35,0.2709,143.50,5.04,0.0364
2025-05-16,32,m,505,2206,4.37,10354,17518,1.69,0.2441,144.00,5.54,0.04
2025-05-23,39,w,53,6,0.11,65,488,7.51,0.22820000000000001,138.00,-0.46,-0.0033
2025-05-30,46,w,19,8,0.42,0,3,∞,0.22829999999999998,123.00,-15.46,-0.1116
2025-06-20,67,m,1166,1564,1.34,46902,87326,1.86,0.2267,145.00,6.54,0.0473
2025-09-19,158,m,490,426,0.87,29278,28772,0.98,0.20829999999999999,146.00,7.54,0.0545
2025-10-17,186,m,4086,373,0.09,7024,13874,1.98,0.21309999999999998,140.00,1.54,0.011200000000000002
2025-12-19,249,m,247,127,0.51,8098,11480,1.42,0.20350000000000001,150.00,11.54,0.0834
2026-01-16,277,m,752,410,0.55,28264,49326,1.75,0.2115,131.00,-7.46,-0.0538
2027-01-15,641,m,16,0,0.0,4027,4804,1.19,0.18170000000000003,146.00,7.54,0.0545
