Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
85.00,,47.00,49.50,52.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
90.00,,42.00,44.50,47.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
95.00,38.45,35.00,39.63,44.25,2,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
100.00,,32.00,34.50,37.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
105.00,,27.00,29.50,32.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
110.00,,21.00,24.63,28.25,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
115.00,,17.05,19.53,22.00,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
120.00,,12.50,15.00,17.50,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
123.00,,9.50,12.00,14.50,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
124.00,,9.30,11.08,12.85,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
125.00,10.1,6.65,10.38,14.10,1,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
126.00,9.25,8.65,9.53,10.40,1,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
127.00,,7.65,8.65,9.65,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
128.00,,6.40,7.65,8.90,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
129.00,,4.95,6.45,7.95,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
130.00,2.78,2.97,5.99,9.00,1,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
131.00,6.0,2.63,6.37,10.10,3,0,0.46340000000000003,0.86,0.0388,-0.23,0.03,Call,2025-04-11,132.98
132.00,,3.75,4.80,5.85,0,0,0.0,1.00,0.0000,-0.01,0.00,Call,2025-04-11,132.98
133.00,3.4,1.82,6.16,10.50,26,0,0.7936,0.67,0.0367,-0.60,0.04,Call,2025-04-11,132.98
134.00,,2.51,3.58,4.65,0,0,0.3513,0.76,0.0717,-0.24,0.04,Call,2025-04-11,132.98
135.00,2.95,0.83,5.32,9.80,4,1,0.8691,0.59,0.0361,-0.71,0.05,Call,2025-04-11,132.98
136.00,2.11,1.31,4.11,6.90,32,17,0.7322,0.55,0.0435,-0.61,0.05,Call,2025-04-11,132.98
137.00,1.45,0.71,3.86,7.00,2,7,0.7839,0.51,0.0410,-0.65,0.05,Call,2025-04-11,132.98
138.00,1.54,0.05,1.55,3.05,115,9,0.409,0.43,0.0772,-0.34,0.05,Call,2025-04-11,132.98
139.00,1.25,0.10,1.33,2.55,371,11,0.4412,0.36,0.0685,-0.35,0.05,Call,2025-04-11,132.98
140.00,1.09,0.00,1.10,2.20,17,91,0.462,0.31,0.0612,-0.34,0.04,Call,2025-04-11,132.98
141.00,0.77,0.00,0.70,1.39,3,89,0.4254,0.23,0.0576,-0.27,0.04,Call,2025-04-11,132.98
142.00,0.62,0.00,0.39,0.77,18,89,0.38780000000000003,0.16,0.0496,-0.19,0.03,Call,2025-04-11,132.98
142.50,0.59,0.07,0.77,1.46,42,85,0.5291,0.21,0.0439,-0.32,0.04,Call,2025-04-11,132.98
143.00,0.5,0.00,0.67,1.33,3,12,0.5271,0.19,0.0414,-0.30,0.03,Call,2025-04-11,132.98
143.50,0.45,0.05,0.79,1.52,2,11,0.5887,0.20,0.0381,-0.34,0.03,Call,2025-04-11,132.98
144.00,0.33,0.00,0.76,1.52,11,142,0.6076,0.19,0.0358,-0.34,0.03,Call,2025-04-11,132.98
144.50,0.24,0.00,0.55,1.09,4,135,0.5643,0.15,0.0337,-0.28,0.03,Call,2025-04-11,132.98
145.00,0.3,0.05,0.23,0.41,13,399,0.46,0.09,0.0281,-0.15,0.02,Call,2025-04-11,132.98
145.50,,0.00,0.49,0.98,0,72,0.5918,0.14,0.0296,-0.27,0.03,Call,2025-04-11,132.98
146.00,0.27,0.00,0.48,0.96,1,87,0.6108,0.13,0.0278,-0.27,0.03,Call,2025-04-11,132.98
146.50,,0.00,0.43,0.86,0,14,0.6132,0.12,0.0260,-0.25,0.02,Call,2025-04-11,132.98
147.00,0.18,0.00,0.60,1.19,24,53,0.6990000000000001,0.14,0.0255,-0.32,0.03,Call,2025-04-11,132.98
147.50,0.12,0.00,0.12,0.24,2,15,0.48700000000000004,0.05,0.0167,-0.10,0.01,Call,2025-04-11,132.98
148.00,,0.00,0.41,0.82,0,64,0.669,0.11,0.0220,-0.25,0.02,Call,2025-04-11,132.98
148.50,,0.00,0.38,0.76,0,4,0.6761,0.10,0.0207,-0.24,0.02,Call,2025-04-11,132.98
149.00,,0.05,0.11,0.18,0,36,0.5349,0.04,0.0138,-0.10,0.01,Call,2025-04-11,132.98
149.50,,0.00,0.88,1.76,0,2,0.9134,0.15,0.0210,-0.45,0.03,Call,2025-04-11,132.98
150.00,,0.00,0.37,0.73,0,812,0.7292000000000001,0.09,0.0179,-0.25,0.02,Call,2025-04-11,132.98
151.00,0.08,0.00,0.05,0.10,4,10,0.5243,0.02,0.0078,-0.06,0.01,Call,2025-04-11,132.98
152.00,,0.00,1.03,2.06,0,7,1.0776000000000001,0.15,0.0178,-0.53,0.03,Call,2025-04-11,132.98
152.50,,0.00,0.96,1.91,0,0,1.0739,0.15,0.0171,-0.51,0.03,Call,2025-04-11,132.98
153.00,,0.00,1.13,2.26,0,38,1.156,0.16,0.0168,-0.58,0.03,Call,2025-04-11,132.98
154.00,,0.00,0.93,1.85,0,43,1.1277,0.14,0.0156,-0.51,0.03,Call,2025-04-11,132.98
155.00,,0.00,1.12,2.24,0,0,1.2403,0.15,0.0150,-0.60,0.03,Call,2025-04-11,132.98
156.00,,0.00,1.02,2.03,0,0,1.2451,0.14,0.0141,-0.56,0.03,Call,2025-04-11,132.98
157.00,,0.00,1.04,2.08,0,1,1.2958,0.13,0.0135,-0.58,0.03,Call,2025-04-11,132.98
158.00,,0.00,1.11,2.22,0,0,1.3627,0.14,0.0129,-0.62,0.03,Call,2025-04-11,132.98
159.00,,0.00,1.11,2.22,0,0,1.4035,0.13,0.0124,-0.63,0.03,Call,2025-04-11,132.98
160.00,,0.00,1.01,2.02,0,1,1.4047999999999998,0.12,0.0117,-0.59,0.03,Call,2025-04-11,132.98
161.00,,0.00,1.01,2.02,0,0,1.4437,0.12,0.0112,-0.60,0.02,Call,2025-04-11,132.98
