Expiration,DTE,Type,VolumeCall,VolumePut,Volume_PC_Ratio,OICall,OIPut,OI_PC_Ratio,ImpliedVol,MaxPain,MaxPainvsCurrPrice,MaxPainvsCurrPrice_pct
2025-04-25,3,w,1977,895,0.45,1828,3904,2.14,0.5726,190.00,-1.07,-0.005600000000000001
2025-05-02,10,w,195,385,1.97,1726,1746,1.01,0.42210000000000003,184.00,-7.07,-0.037000000000000005
2025-05-09,17,w,21,31,1.48,157,535,3.41,0.4058,193.00,1.93,0.0101
2025-05-16,24,m,444,1848,4.16,9561,12310,1.29,0.33,190.00,-1.07,-0.005600000000000001
2025-05-23,31,w,4,23,5.75,67,92,1.37,0.3159,183.00,-8.07,-0.042199999999999994
2025-05-30,38,w,21,21,1.0,60,153,2.55,0.3186,187.00,-4.07,-0.0213
2025-06-20,59,m,1947,2712,1.39,41041,96786,2.36,0.3019,200.00,8.93,0.0467
2025-09-19,150,m,7920,1961,0.25,16570,37019,2.23,0.2929,200.00,8.93,0.0467
2025-12-19,241,m,47,2,0.04,9685,12001,1.24,0.28559999999999997,200.00,8.93,0.0467
2026-01-16,269,m,313,1097,3.5,11392,39101,3.43,0.2802,205.00,13.93,0.0729
2026-12-18,605,m,0,51,∞,1203,19339,16.08,0.2676,250.00,58.93,0.3084
2027-01-15,633,m,22,55,2.5,1688,3646,2.16,0.2695,200.00,8.93,0.0467
