Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
160.00,,41.65,43.50,45.35,0,0,1.5866,0.98,0.0018,-0.28,0.01,Call,2025-04-04,203.31
165.00,,36.40,38.28,40.15,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
166.00,,35.25,37.35,39.45,0,0,0.9706,1.00,0.0005,-0.04,0.00,Call,2025-04-04,203.31
167.00,,34.45,36.38,38.30,0,0,1.0837,0.99,0.0011,-0.09,0.00,Call,2025-04-04,203.31
168.00,,33.40,35.40,37.40,0,0,1.1283,0.99,0.0016,-0.13,0.00,Call,2025-04-04,203.31
169.00,,32.60,34.43,36.25,0,0,1.1509,0.99,0.0020,-0.17,0.01,Call,2025-04-04,203.31
170.00,,31.65,33.43,35.20,0,0,1.1184,0.99,0.0021,-0.17,0.01,Call,2025-04-04,203.31
171.00,,30.45,32.35,34.25,0,0,0.8293,1.00,0.0005,-0.04,0.00,Call,2025-04-04,203.31
172.00,,29.60,31.28,32.95,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
173.00,,28.60,30.15,31.70,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
174.00,,27.60,29.18,30.75,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
175.00,,26.65,28.40,30.15,0,0,0.91,0.99,0.0023,-0.13,0.00,Call,2025-04-04,203.31
176.00,,25.60,27.13,28.65,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
177.00,,24.65,26.42,28.20,0,3,0.8937,0.98,0.0031,-0.16,0.01,Call,2025-04-04,203.31
178.00,,23.65,25.20,26.75,0,0,0.0,1.00,0.0000,-0.02,0.00,Call,2025-04-04,203.31
179.00,,22.75,24.38,26.00,0,3,0.7289,0.99,0.0021,-0.08,0.00,Call,2025-04-04,203.31
180.00,,21.65,23.38,25.10,0,0,0.7,0.99,0.0022,-0.08,0.00,Call,2025-04-04,203.31
181.00,,20.70,22.35,24.00,0,0,0.5585,1.00,0.0008,-0.04,0.00,Call,2025-04-04,203.31
182.50,,19.25,20.88,22.50,0,0,0.6282,0.99,0.0027,-0.08,0.00,Call,2025-04-04,203.31
184.00,,17.90,19.48,21.05,0,4,0.7288,0.97,0.0062,-0.21,0.01,Call,2025-04-04,203.31
185.00,,16.60,18.55,20.50,0,1,0.757,0.96,0.0080,-0.28,0.01,Call,2025-04-04,203.31
186.00,,15.80,17.40,19.00,0,1,0.5754,0.98,0.0049,-0.11,0.01,Call,2025-04-04,203.31
187.00,,14.75,16.40,18.05,0,4,0.5453,0.98,0.0054,-0.11,0.01,Call,2025-04-04,203.31
187.50,,14.15,15.95,17.75,0,1,0.5892000000000001,0.97,0.0077,-0.17,0.01,Call,2025-04-04,203.31
188.00,,13.70,15.65,17.60,0,2,0.7092,0.94,0.0118,-0.36,0.02,Call,2025-04-04,203.31
189.00,,13.45,15.00,16.55,0,7,0.8179000000000001,0.89,0.0150,-0.59,0.03,Call,2025-04-04,203.31
190.00,9.2,11.75,13.65,15.55,6,30,0.6334000000000001,0.93,0.0142,-0.34,0.02,Call,2025-04-04,203.31
191.00,,11.65,12.83,14.00,0,0,0.6690999999999999,0.90,0.0172,-0.46,0.03,Call,2025-04-04,203.31
